V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
R_3e3nbxvZj8L0S1q,Default Response Set,Anonymous,,,195.221.44.27,0,9/15/15 16:29,9/15/15 16:51,1,1,1,0,0,122.901,0,1,,,,,,,400,1,0,0,17.731,0,1,9,9,Pour que tout le monde ait la m̻me somme d'argent au final.,1,9,9,9,7,9,7,5,9,5,9,1,5,1,5,1,3,3,7,9,9,9,9,9,9,1,9,9,9,1,1,9,9,1,0,0,0,1,10,10,1,2,1,2,2,"Cette ̩tude tente d'̩tablir un profil ""type"" des personnes au sein d'un groupe/soci̩t̩. Savoir si elles sont plut̫t passives ou plut̫t actives dans ce groupe.  / L'̩tude montre cela en pla̤ant le sond̩ dans des situations o�_ il y aurait interraction avec d'autres personnes (dans un contexte familial ou professionnel) et cherche �� avoir son ressenti par rapport �� lui-m̻me.",Non,4,7,4,7,71,2,"Dijon, C̫te-d'Or",3,45.17149353,5.722396851,-1
R_3EKFQt40wokJXzy,Default Response Set,Anonymous,,,195.221.44.22,0,9/15/15 16:29,9/15/15 16:53,1,1,1,0,0,82.179,0,1,,,,,,,400,1,0,0,21.129,0,1,9,1,"On m'a d̩j�� expliqu̩ cette exp̩rience mais avec l'exemple de deux criminels ayant commis le m̻me meurtre, �� qui on demandait de d̩noncer ou non l'autre : si personne ne d̩noncait l'autre personne n'allait en prison, si l'un d̩nonce et pas l'autre celui d̩nonc̩ avait une peine de 8 ans et si les deux se d̩noncaient entre eux ils avaient une peine de 4 ans. C'est le m̻me principe qu'ici mais dans un sc̩nario diff̩rent. On m'a dit que la plupart du temps les gens (pour ce sc̩nario) d̩cidaient de ne pas contribuer. Malgr̩ tout je trouve que la chose la plus intelligente �� faire est de tout donner car si tout le monde donne, on aura un b̩n̩fice de groupe plus important.",1,9,1,8,9,9,1,8,8,7,1,4,3,1,5,7,2,5,5,7,3,5,3,2,4,1,1,2,6,2,1,1,1,3,0,0,0,0,1,1,2,3,3,1,2,"La confiance qu'on peut accorder aux autres. Si 1 personne de nous 4 choisie de garder les 4���, il aura plus d'argent tandis que nous auront moins. Ce sont de parfait inconnus, il est normal de ne pas leur faire confiance.",Non,7,9,7,9,77,2,GRENOBLE 38100,2,45.17149353,5.722396851,-1
R_3EmR2hDkelouPEx,Default Response Set,Anonymous,,,195.221.44.22,0,9/9/15 09:10,9/9/15 09:39,1,1,1,0,0,77.469,0,1,,,,,,,400,1,0,0,19.743,0,1,9,1,"J'ai pris le risque de recevoir moins d'argent et de tout miser, car celui d̩pos̩ dans la cagnotte collective peut rapporter plus. J'ai donc pari̩ sur le fait que les autres participants aient le m̻me raisonnement que moi. Et comme de toute mani̬re l'argent ne m'int̩resse pas plus que ̤a, le fait de tout perdre m'est ̩gal.",1,6,1,6,7,7,2,6,7,4,1,2,1,1,2,3,8,7,8,9,8,9,8,4,8,2,1,1,3,3,4,5,2,1,2,2,0,1,8,9,1,2,1,2,2,Je pense que l'̩tude essaie de mettre en lien la confiance qu'un individu accorderait spontan̩ment �� un autre et les d̩cisions qu'il prendra lorsqu'il y a un enjeu financier.,Non,3,5,2,2,75,2,"Avignon, France",0,45.17149353,5.722396851,-1
R_3esiMKpix6VvnyQ,Default Response Set,Anonymous,,,195.221.44.3,0,9/16/15 14:04,9/16/15 14:21,1,1,1,0,0,81.676,0,1,,,,,,,320,1,0,0,24.268,0,1,9,1,J'ai choisi de mettre la majeure partie de l'argent pour toute l'̩quipe mais de garder une petite partie pour moi au cas ou si les autres ne donnent rien,1,3,9,7,7,6,7,7,8,5,3,8,7,3,6,1,8,8,3,8,8,9,8,9,7,6,4,3,7,2,7,8,8,1,0,2,0,1,3,7,2,3,3,1,2,"L'etude essaie d'analyser la comp̩tition qu'il peut avoir entre les gens, des personnes inconnus et de mesurer la solidarit̩ de la soci̩t̩. Elle met en avant nos doutes par rapport aux autres, et nous fait r̩aliser notre comportement.",J'ai la suspicion que plus on met d'argent plus on sera r̩compenser de notre acte,5,2,5,5,77,2,Annecy France,0,45.17149353,5.722396851,-1
R_3FLqssl9DRuL35d,Default Response Set,Anonymous,,,195.221.44.4,0,9/16/15 16:10,9/16/15 16:32,1,1,1,0,0,75.127,0,1,200,1,0,0,40.448,0,,,,,,,1,9,9,pour avoir un montant plus ̩lev̩,1,9,5,9,9,7,8,7,7,9,9,9,9,5,9,9,3,9,6,9,9,3,9,5,9,7,1,6,1,1,1,1,5,1,0,1,0,0,1,7,2,3,3,1,2,"l'individualisme, la fa̤on de vivre et de penser avec autruis ,",non,5,3,6,5,77,1,"france, is̩re",4,45.17149353,5.722396851,-1
R_3FRmzGfZ4QjKoWH,Default Response Set,Anonymous,,,195.221.44.2,0,9/10/15 14:21,9/10/15 14:35,1,1,1,0,0,52.035,0,1,321,1,6.141,6.953,11.332,3,,,,,,,1,5,5,"Il est pr̩f̩rable de donner autant qu'on le peut, m̻me si c'est �� travers un calcul math̩matique group̩ que l'on d̩termine par arithm̩tique, combien l'on doit donner.",1,7,3,7,2,5,5,8,9,4,1,4,3,3,3,3,7,8,8,8,5,9,8,9,9,6,1,5,4,9,5,5,4,1,2,1,0,1,5,9,2,1,2,2,2,"Elle tente de montrer ou d̩montrer que dans la soci̩t̩ actuelle le produit de la comp̩titivit̩ chez les Hommes est essentiel pour les faire vivre ensemble, mais qu'il est possible n̩anmoins que ce produit les conditionne, les ali̬nent.","Le doute d'avoir ̩t̩ forc̩ de choisir le plus gros don, sachant que la somme pouvait ̻tre sup̩rieure en vertu du calcul que cela demandait. C'̩tait semble t-il le fruit du hasard, pas s��r... (conditionnement �� la prise de d̩cision rapide �� cause du chrono)",7,2,5,7,75,1,Saint Quentin sur Is̬re,0,45.17149353,5.722396851,-1
R_3fUZhJ7DgVEGxXX,Default Response Set,Anonymous,,,195.221.44.2,0,9/9/15 14:04,9/9/15 14:33,1,1,1,0,0,76.346,0,1,,,,,,,318,1,15.756,15.756,22.641,1,1,8,9,j'ai choisi de donner cette somme car autant donner un maximum au groupe pour peut ̻tre avoir plus d'argent,1,9,1,9,8,7,5,9,8,6,6,2,6,1,5,5,8,5,9,7,8,5,6,9,9,2,1,7,6,4,6,2,7,1,4,0,0,3,6,8,2,1,3,2,2,"savoir si pour de l'argent nous sommes capable de travailler avec des inconnu pour le faire fructifier, savoir si on va faire confiance �� des inconnus",non,4,6,4,9,77,2,"France, Is̬re, Grenoble",0,45.17149353,5.722396851,-1
R_3FX7eOXUcAFH50E,Default Response Set,Anonymous,,,195.221.44.11,0,9/11/15 12:53,9/11/15 13:18,1,1,1,0,0,48.319,0,1,,,,,,,100,1,0,0,23.822,0,1,9,1,"Je n'ai pas choisi de donner au groupe l'int̩gralit̩ de ma cagnotte, seulement 1/4, ainsi, m̻me si le groupe ne pourra remporter la somme maximum, j'aurai plus de chance de gagner personnellement. De plus, je ne pense pas que les autres personnes misent la totalit̩ de leur cagnotte.",1,6,4,8,4,6,4,7,6,6,7,6,3,4,6,5,3,7,6,8,7,7,7,8,7,8,7,8,6,4,5,5,7,1,1,1,0,1,4,8,2,1,2,1,2,"L'̩tude montre la confiance que l'on peut placer en d'autres individus inconnus, avec lesquels je suis li̩e ; la mise de chacun d̩finiera le montant global.",non,4,5,4,2,76,2,France - Grenoble,1,45.17149353,5.722396851,-1
R_3fy3PZd02LxcRPr,Default Response Set,Anonymous,,,195.221.44.11,0,9/9/15 16:40,9/9/15 17:02,1,1,1,0,0,81.675,0,1,280,1,0,0,16.636,0,,,,,,,1,7,9,"Je suis d'un naturelle g̩n̩reuse, et j'ai tendance �� plus donn̩e que ce que je re̤ois.",1,7,1,7,2,3,2,7,6,6,7,4,5,1,4,1,9,9,8,9,9,9,9,9,9,2,1,6,8,7,8,5,9,2,0,0,0,0,8,8,3,2,1,2,2,"Elle cherche �� montrer comment l'humain est face au partage, soit s'il fonctionne plut̫t en individuel ou s'il a plus tendance �� partager, et cela en fonction de la r̩compense. Elle essaye de le montrer en regardant ce que chacun est pr̻t �� partager face �� ce qu'il est susceptible de recevoir en ̩change.",non,6,2,2,9,76,2,"Saint-Nazaire (44), France",0,45.17149353,5.722396851,-1
R_3fZW1UYgRTUfn5I,Default Response Set,Anonymous,,,195.221.44.17,0,9/16/15 14:08,9/16/15 14:28,1,1,1,0,0,166.597,0,1,200,1,0,0,18.611,0,,,,,,,1,9,5,"Je donne une contribution de suelement 200 centimes. Pour pouvoir garder une part, et faire contribuer mon groupe des autres 200 centimes qui seront ainsi ajouter �� la cagnotte. Pensant que les autres, vont soit garder leur cagnotte enti̬re soit garder une partie on peut penser que il n'y aura jamais une cagnotte pleine mais peut permttre une b̩n̩fice par rapport a ce que j'ai mis dans la cagnotte",1,5,3,8,8,5,3,6,7,1,8,1,6,1,1,9,5,6,4,5,8,7,6,1,6,1,4,1,6,9,1,1,7,1,0,0,0,0,4,9,2,2,3,2,2,"Relation entre personnes non connues. Actions vis̩es en collaboration mais sans connaitre avec qui. En fonction de notre contribution �� la cagnotte, mesure du profil de la personne, ses intentions.",non,9,7,4,3,76,1,france 68,1,45.17149353,5.722396851,-1
R_3g29Q77J2e54Vua,Default Response Set,Anonymous,,,195.221.44.4,0,9/10/15 14:21,9/10/15 14:34,1,1,1,20.66,90.927,97.106,10,1,0,1,0,0,12.834,0,,,,,,,1,9,1,Afin de gagner le maximum si les autres misent tout .,1,7,7,9,6,6,4,6,6,3,6,2,2,4,4,2,6,6,6,7,9,9,7,7,9,4,6,6,6,4,9,2,6,1,0,0,0,0,5,7,3,1,1,1,2,"Je ne sais pas, certainement un rapport avec le fait qu'on ait besoin des autres ou non pour faire des choix, et il y a aussi un rapport avec la solidarit̩.",non,4,5,4,6,78,2,Aubenas Ardeche France,1,45.17149353,5.722396851,-1
R_3G7ywp0uBZ1Xetg,Default Response Set,Anonymous,,,195.221.44.8,0,9/16/15 16:10,9/16/15 16:39,1,1,1,0,0,60.495,0,1,177,1,0,0,14.297,0,,,,,,,1,5,1,"Si je contribue a 0 centimes alors je garderais mon argent tans que les autres non selon leurs reponses, mais pour le groupe je contribuerais a 2 centimes pour l'̩quitabilit̩ de tous le monde.",1,8,6,6,8,8,4,7,9,7,7,4,5,3,5,6,3,9,7,7,9,9,7,9,8,2,4,3,9,2,1,5,5,1,0,0,0,0,5,10,3,2,3,1,2,"L'̩tude essaie de montrer si les humains peuvent rester en harmonie si ils partagent ou non.  / Elle montre aussi si on peut faire confiance a quelqu'un ou non, que se soit les amis ou des inconnus et si on pourrait partager avec eux ou non.  / Elle tente de le montrer en pointant la capacit̩ �� l'ouverture d'esprit d'un individu envers les autres. (sociabilit̩, partage, ̩motions....)",non chaque avis est bon a prendre.,6,3,6,9,77,1,France(74) Reignier,4,45.17149353,5.722396851,-1
R_3Gjqso1WPBBhMuW,Default Response Set,Anonymous,,,195.221.44.11,0,9/10/15 15:06,9/10/15 15:42,1,1,1,0,0,28.131,0,1,,,,,,,290,1,0,0,28.728,0,1,9,9,"Je manquait de confiance dans mon choix, c'est pourquoi je n'aie pas attibuer la somme maximale",1,7,4,9,8,5,8,3,5,4,2,6,6,2,7,1,7,9,8,9,9,6,8,9,9,1,3,7,5,3,7,6,5,1,0,0,0,0,8,6,1,2,3,2,2,l'etude cherche peut ̻tre �� prouver comment les decisions que nous prenons tous les jours et notre rapport aux autres nous pla̤ent dans la soci̩t̩,non,3,6,2,6,77,2,Cavaillon 84,3,45.17149353,5.722396851,-1
R_3GkUN9D2unvaoHb,Default Response Set,Anonymous,,,195.221.44.5,0,9/9/15 11:14,9/9/15 11:38,1,1,1,0,0,61.015,0,1,,,,,,,200,1,0,0,38.706,0,1,9,5,Cela me parait un juste milieu entre tout donner �� la cagnote commune et le b̩n̩fice personnel,1,7,3,7,6,8,3,6,8,6,6,4,3,1,8,7,3,7,6,8,8,9,7,5,6,2,2,1,6,2,3,6,6,1,0,0,0,0,7,8,3,3,1,2,2,Cette ̩tude tente de montrer �� quel point les individus peuvent sacrifier une part de leurs b̩n̩fices personnels pour l'int̩r̻t du groupe ainsi que la confiance que les individus peuvent placer dans les autres.,non,4,4,3,5,75,2,"Aix-les-bains, Savoie, France",0,45.17149353,5.722396851,-1
R_3gLxzhsjGGyzlRH,Default Response Set,Anonymous,,,195.221.44.28,0,9/9/15 14:04,9/9/15 14:31,1,1,1,0,0,98.518,0,1,,,,,,,252,1,0,0,12.403,0,1,7,9,pour voir ce qui va se passer,1,9,7,7,7,8,3,8,9,6,4,2,9,2,5,5,6,9,9,9,9,5,7,8,9,2,2,6,6,5,6,2,5,3,2,2,0,1,5,8,2,2,3,2,2,Je pense que cette ̩tude essaye de d̩montrer notre jugement/comportement/confiance face aux individus lors d'une d̩cision,non,4,4,3,5,75,2,France 67 38,4,45.17149353,5.722396851,-1
R_3gRcdcTujXukLPd,Default Response Set,Anonymous,,,195.221.44.27,0,9/11/15 14:03,9/11/15 14:29,1,1,1,0,0,75.235,0,1,400,1,0,0,23.018,0,,,,,,,1,9,5,Pour que chacun touche la m̻me somme,1,8,7,8,7,5,5,8,6,1,1,1,9,1,1,1,9,6,3,2,9,8,9,8,9,1,1,6,6,2,5,5,2,1,6,3,0,1,6,8,1,2,3,2,2,Quel est le type de personnalit̩ des personnes qui coop̬rent et celles qui sont comp̩titrices,Pas en ligne avec d'autres personnes,4,4,4,5,72,2,"France, 38, Grenoble",0,45.17149353,5.722396851,-1
R_3Gx0tgotTl4PTEE,Default Response Set,Anonymous,,,195.221.44.25,0,9/14/15 09:02,9/14/15 11:15,1,1,1,0,0,41.301,0,1,400,1,0,0,8.176,0,,,,,,,1,9,1,"J'ai choisis d'allouer ce montant car en cas de d̩cision diff̩rente de la part des autre membres anonymes du groupe, je ferais quand m̻me des b̩n̩fices.",1,6,7,8,8,2,5,6,4,7,4,5,4,1,5,3,8,8,7,8,9,7,7,8,8,3,1,5,4,3,6,2,8,1,6,0,0,1,3,5,3,1,2,1,2,"L'̩tude actuelle tente de montrer comment les personnes agissent en soci̩t̩, plus particuli̬rement quand de l'argent est en jeu, au moyen d'un test de confiance: si on alloue tout son argent au compte commun de l'experience, on admet faire confiance aux autres pour qu'ils en fassent de m̻me.",non,3,5,3,5,77,2,"Saint Marcellin, Is̬re",0,45.17149353,5.722396851,-1
R_3HBKhgubo96maD8,Default Response Set,Anonymous,,,195.221.44.22,0,9/10/15 15:06,9/10/15 15:48,1,1,1,0,0,74.58,0,1,,,,,,,200,1,0,0,21.427,0,1,9,1,"J'ai mis 2 euros dans la cagnotte, c'est �� dire la moiti̩ de la contribution maximale pour avoir une certitude de garder un part de l'argent de d̩part tout en contribuant au groupe. Ca serait un choix rassurant �� plus grande ̩chelle, permettant d'avoir une part de s̩curit̩ en gardant la moiti̩ tout en contribuant a l'effort de groupe",1,5,1,9,9,9,5,8,7,7,5,4,6,2,6,7,4,7,8,9,8,7,9,7,7,3,2,8,6,4,1,3,5,1,0,0,0,0,7,8,3,2,1,2,2,"La prise de d̩cision est importante dans la vie et cette ̩tude comporte de nombreuses questions qui nous confrontes a ̤a et analyse notre personnalit̩, particulierement avec l'exercice de la cagnotte.",Non,6,2,6,2,77,1,Rochegude 26,3,45.17149353,5.722396851,-1
R_3HiFJHBfqaLrPtp,Default Response Set,Anonymous,,,195.221.44.28,0,9/14/15 10:52,9/14/15 11:29,1,1,1,0,0,122.1,0,1,,,,,,,400,1,0,0,75.994,0,1,9,7,"Donner la totalit̩ de mes centimes me paraissait plus raisonnable ethiquement, car la vie en societ̩ implique un minimum de reciprocit̩ pour son bon fonctionnement. Aussi, donner la totalit̩ de la somme permet dans un systeme ou tout le monde prend la meme decision, de maximiser le gain du groupe.",1,5,1,7,6,4,1,3,4,4,1,5,9,2,2,1,8,9,6,7,7,8,6,9,8,1,1,3,5,1,7,6,1,1,0,0,0,0,4,7,3,3,3,2,2,L'etude ̩ssai a mon avis de montrer des correlations entre des actes pro groupe et differents trait de personnalit̩ et de representations par le biais d'une mise en situation et d'un questionnaire. Montrer que les gens ont plutot tendance a ne pas donner et expliquer ce qui les motivent.,non,4,4,4,4,74,1,"Isere7, Alpes amritimes7, Floride7",0,45.17149353,5.722396851,-1
R_3HnubF7EZtFJYea,Default Response Set,Anonymous,,,195.221.44.5,0,9/15/15 15:23,9/15/15 15:40,1,1,1,135.822,135.822,136.721,1,1,,,,,,,400,1,0,0,25.874,0,1,9,1,"Il me semble plus int̩ressant de penser aux b̩n̩fices destin̩s au groupe, plut̫t qu'�� moi-m̻me.",1,5,6,7,8,5,4,5,7,3,2,3,2,2,3,3,7,8,4,8,7,6,7,8,7,6,3,4,8,1,3,5,5,1,1,1,0,0,7,6,3,3,1,2,2,"Je pense que l'̩tude actuelle tent �� nous montrer notre prise de d̩cision vis �� vis des autres, ainsi que notre rapport avec ceux-ci. Si, par exemple, nous sommes plus centr̩ sur nous m̻me ou ouvert aux autres.",Non.,5,5,6,3,75,2,Annecy (74) France,0,45.17149353,5.722396851,-1
R_3holDewZZc5gKlm,Default Response Set,Anonymous,,,195.221.44.4,0,9/14/15 12:56,9/14/15 13:27,1,1,1,0,0,56.708,0,1,,,,,,,100,1,0,0,46.191,0,1,9,1,"Parce que j'estimais �� cette somme, moralement, la limite de ma capacit̩ et de mon d̩sir �� contribuer financi̬rement au b̩n̩fice d'un groupe aussi restreint, ̩tant donn̩ la prise en compte de mon int̩r̻t propre (je repr̩sente 25% des sujets concern̩s), j'ai donc instinctivement plac̩ ma contribution �� un quart du spectre propos̩.",1,8,5,4,7,4,3,8,7,7,1,6,2,3,9,2,3,6,5,7,6,5,6,7,5,1,1,2,6,5,6,1,1,1,0,0,0,0,7,5,3,1,1,2,2,"Peut-̻tre d'̩tudier la mani̬re dont nous sommes capables d'envisager de compromettre, d'amoindrir ou de risquer notre int̩r̻t propre au profit d'une entit̩ collective ou d'un bien commun qui n'est pas clairement identifi̩",non,3,9,9,3,75,1,"France, Dr̫me",2,45.17149353,5.722396851,-1
R_3iXAw94ejNXMqxW,Default Response Set,Anonymous,,,195.221.44.28,0,9/14/15 12:56,9/14/15 13:26,1,1,1,0,0,170.179,0,1,400,1,0,0,5.115,0,,,,,,,1,9,1,"J'ai choisi de faire confiance aux autres individus qui ont particip̩ �� la m̻me experience que moi. J'̬sp̬re que les autres feront comme moi. J'ai mis 400 centimes dans la cagnotte parce que c'est le montant le plus avantageux pour le groupe, au risque de perdre ces 4 euros.",1,9,4,9,9,9,3,9,9,4,3,5,1,1,3,6,7,6,9,8,8,9,9,6,9,1,5,3,7,1,3,2,4,1,3,0,0,0,7,7,3,2,2,2,2,"Je pense que l'̩tude actuelle etudie notre comportement en soci̩t̩, face aux autres et �� la competition. Je pense qu'elle tente de le montrer par rapport au sous recolt̩s dans les cagnottes, significatives de la confiance que peut avoir un individu par rapport �� un inconnu.",non,6,2,5,9,78,2,"Is̬re, France",0,45.17149353,5.722396851,-1
R_3j2uQgRXVYyxUwt,Default Response Set,Anonymous,,,195.221.44.24,0,9/15/15 16:30,9/15/15 16:46,1,1,1,0,0,68.141,0,1,,,,,,,400,1,0,0,14.44,0,1,9,1,"J'ai fait le choix de mettre 4 euros car si tout le monde met quatre euros, chaque membre du groupe recevra le double ce qui rend l'exp̩rience ̩quitable pour tout le monde. Si je n'avais mis que 0 euros j'aurais pu gagner 10 euros mais les autres non et cela n'est pas une id̩e qui me pląt. / J'aurais pu mettre autre chose que 0 ou 4 euros mais je n'en ressentais pas l'envie.",1,8,6,6,6,6,6,6,6,4,1,3,1,3,5,5,6,6,6,6,7,5,8,5,6,4,3,4,5,4,5,5,5,1,0,0,0,0,5,8,3,3,3,2,2,"Je penses que cette ̩tude tente de montrer comment les gens prennent des d̩cisions impliquant d'autres gens, sans pouvoir les consulter avant. Peut-̻tre aussi que cette ̩tude prend en compte le profil des gens en fonction des r̩ponses aux questions. / Elle tente de le montrer en effectuant cette exp̩rience et en en tirant des r̩sultats chiffr̩s.",Non,3,4,5,4,77,1,Grenoble,2,45.17149353,5.722396851,-1
R_3JCNvTfNEtSIPtp,Default Response Set,Anonymous,,,195.221.44.4,0,9/14/15 15:07,9/14/15 15:24,1,1,1,0,0,69.176,0,1,244,1,0,0,18.36,0,,,,,,,1,9,1,"J'ai d̩cid̩ de mettre ce montant pour pouvoir mettre quasiment la moiti̩ et cagnotte mais pour m'assurer quand m̻me d'avoir l'autre moiti̩. De plus, je n'ai pas bien eu le temps de r̩fl̩chir, 10 sec, c'est rapide !",1,6,8,8,7,5,5,3,8,6,5,4,2,3,3,3,4,7,6,8,8,7,6,6,7,2,5,2,6,3,4,9,9,2,10,1,0,1,8,4,2,3,2,2,2,Je pense que l'̩tude veut voir si quelqu'un de confiant dans la vie quotidienne va mettre une somme dans la cagnotte qui montrerait qu'il a confiance aussi aux autres participants.,J'ai eu un doute sur la tromperie jusqu'�� ce que ce soit r̩ellement ̩crit que il n'y a pas de tromperie.,9,7,9,6,76,2,Is̬re,0,45.17149353,5.722396851,-1
R_3JghnnL7F4xwka9,Default Response Set,Anonymous,,,195.221.44.8,0,9/16/15 12:56,9/16/15 13:18,1,1,1,0,0,91.253,0,1,,,,,,,400,1,0,0,29.756,0,1,9,1,afin d'avoir une r̩partition ̩gale entre tous les participants,1,3,1,8,3,5,3,7,2,6,1,2,1,3,3,1,3,9,4,5,9,3,9,9,9,3,2,2,5,2,5,7,5,1,2,2,0,2,3,8,3,2,2,2,2,je ne sais pas,je pense que tout le monde recevra la m̻me somme d'argent,2,6,2,2,69,2,haute savoie,2,45.17149353,5.722396851,-1
R_3JnnzQCu7iLPzk5,Default Response Set,Anonymous,,,195.221.44.25,0,9/16/15 12:55,9/16/15 14:25,1,1,1,0,0,84.803,0,1,,,,,,,400,1,0,0,9.224,0,1,9,9,J'ai choisis d'allouer ce montant car je pense que les autres personnes de mon groupe feront la m̻me chose.,1,7,2,7,7,6,6,7,3,2,6,5,2,1,5,1,8,8,4,8,8,4,7,8,7,6,8,3,6,4,5,2,2,1,0,0,0,0,5,6,2,3,3,1,1,"Je n'ai pas vraiment d'id̩e sur ce qu'elle essaie de nous montrer, les d̩cisions des gens qui nous entoure, et la confiance que l'on peut avoir en eux. Elle nous montre cela avec des questions a choix multiples sur diff̩rentes situations de la vie.",non,9,9,9,9,78,2,Hautes Alpes,3,45.17149353,5.722396851,-1
R_3jWW7T0EjJlcmIN,Default Response Set,Anonymous,,,195.221.44.5,0,9/14/15 10:51,9/14/15 11:21,1,1,1,0,0,73.742,0,1,,,,,,,300,1,0,0,35.881,0,1,9,5,"j'ai choisi ce montant car pour moi il y a de forte chance que tous les participants mettent une somme entre 200 et 400, j'ai d̩cid̩ de mettre 300 car je ne perd pas tout mais je ne gagne pas tout, au final j'essaie de m'assurer un minimum de centimes.",1,8,4,9,9,7,8,8,9,6,9,6,6,5,4,8,3,7,5,9,8,7,7,8,7,3,3,3,5,2,8,5,7,1,0,0,0,0,4,8,2,1,2,1,2,"D'apr̬s moi cette ̩dute cherche �� montrer comme il est dit la prise de d̩cision mais aussi le mode di vie d'un homme c'est-��-dire s'il aurait tendance �� faire confiance plus ou moins rapidement mais aussi sa mani̬re de penser, s'il a plus un esprit de competition o�_ lui-m̻me passerait en premier ou bien s'il a un esprit moins comp̩titif et donc l�� il ""penserait"" plus aux autres.",Non,4,5,4,5,77,1,En France �� Villeneuve de marc (Is̬re).,1,45.17149353,5.722396851,-1
R_3jZMMpMNBAUepUs,Default Response Set,Anonymous,,,195.221.44.2,0,9/15/15 16:28,9/15/15 16:48,1,1,1,0,0,79.529,0,1,1,1,0,0,22.003,0,,,,,,,1,9,2,j'ai ̩t̩ surprise par le temps limit̩ de la prise de d̩cision et j'ai choisi un peu pr̩cipitamment le montant avec le peu d'information que nous avions eu juste avant,1,4,4,7,7,5,5,6,6,6,5,6,4,2,5,5,7,7,8,8,7,6,7,6,8,3,3,6,5,3,5,4,6,1,1,2,1,2,5,7,3,1,3,2,2,"je pense que l'̩tude cherche �� montrer si les personnes font confiance aux autres membres du groupe, sans se laisser influencer par les informations de d̩part qui soumet l'hypoth̬se que les autres ne donneront rien dans la cagnotte commune.",non,9,5,2,3,70,2,"france, dr̫me",0,45.17149353,5.722396851,-1
R_3kBAbltQFA3Ejk7,Default Response Set,Anonymous,,,195.221.44.25,0,9/9/15 11:12,9/9/15 11:39,1,1,1,0,0,117.835,0,1,400,1,0,0,12.491,0,,,,,,,1,9,1,"Il vaut mieux que tout le monde est un peu, plut̫t que juste moi.",1,5,7,9,5,1,5,4,1,2,2,3,5,4,6,6,7,6,9,8,5,5,7,8,7,3,7,7,6,5,5,6,9,1,2,1,0,0,2,5,2,3,2,1,2,Elle tente de savoir si on est pr̬s a donner notre argent pour que tout le monde en ai ou si on pr̩f̬re tout garder pour soi. Elle tente de le faire par le placement de l'argent dans une cagnotte. Cela permet de montrer a qu'elle point on peut avoir confiance en l'autre.,non,7,9,5,9,77,2,Chamb̩ry 73,3,45.17149353,5.722396851,-1
R_3kjnhbNaUiNYiTE,Default Response Set,Anonymous,,,195.221.44.2,0,9/14/15 16:16,9/14/15 16:36,1,1,1,0,0,62.827,0,1,,,,,,,0,1,0,0,25.178,0,1,9,1,Car je ne connais pas les autres participants et nous ne pouvons pas nous mettre d'accord,1,8,9,7,5,7,3,8,8,6,7,7,1,6,5,5,2,7,6,9,8,6,7,4,8,2,1,3,8,8,7,5,2,1,1,1,0,0,1,4,2,3,2,2,2,Cette ̩tude veut prouver que les gens pensent beaucoup �� eux-m̻me m̻me si c'est au d̩ficit d'autrui,Je pensais que cela aurait un rapport avec le marketing �� cause de l'̩tudes des prises de d̩cisions,6,6,6,4,77,1,"France, Grenoble",0,45.17149353,5.722396851,-1
R_3kvJoLA7Lg2ZcLZ,Default Response Set,Anonymous,,,195.221.44.27,0,9/16/15 16:10,9/16/15 16:32,1,1,1,0,0,48.758,0,1,,,,,,,169,1,0,0,27.145,0,1,9,1,Si l'on divise 400 divis̩ par le nombre de personne on obtient 100. Mais j'ai d̩cide de donner un peu plus pour l'interet des autres,1,6,1,8,8,5,3,6,5,8,6,7,5,3,5,5,2,8,4,8,9,7,8,8,8,2,1,7,5,7,6,2,6,1,0,1,0,1,5,9,3,2,3,1,2,"Elle essaye de nous montrer quelle place nous avons actuellement dans la soci̩t̩, et quelles relations nous pouvez entretenir avec d'autre personnes. De plus , je pense qu'elle veut montrer si l'humain pense plus a son propre int̻ret et a l'int̻ret des autres",non,3,6,7,3,77,1,Beaurepaire ( Isere 38),4,45.17149353,5.722396851,-1
