V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
R_2zdqJqfX1XJiAMA,Default Response Set,Anonymous,,,195.221.44.11,0,9/9/15 13:58,9/9/15 14:32,1,1,1,0,0,64.438,0,1,220,1,0,0,11.166,0,,,,,,,1,5,3,Plus on participe et plus il y a de chances de r̩colter une plus grande somme d'argent au final,1,9,6,8,9,9,8,8,7,1,9,1,9,6,6,8,8,9,8,9,9,4,6,7,5,5,5,3,8,6,5,9,8,1,0,0,0,0,1,4,2,3,2,1,2,"L'̩tude tente de montrer la diff̩rence dans la prise de d̩cision selon les personnes. Chaque individu est diff̩rent ses choix sont r̩fl̩chi et l'illusion selon laquelle l'Homme agit en fonction de ceux qui l'entoure est fausse. / Chaque personne intervient dans ce monde pour son objectif personnel.  / ""L'homme est un loup pour l'Homme""",Non,3,5,4,7,76,2,"France, drome, romans",4,45.17149353,5.722396851,-1
R_2ZE0gdSOjiHNfKC,Default Response Set,Anonymous,,,195.221.44.8,0,9/9/15 11:13,9/9/15 11:49,1,1,1,122.165,141.787,144.202,3,1,,,,,,,0,1,0,0,74.311,0,1,9,1,"J'ai h̩sit̩, car c'est culpabilisant de ne pas participer dans le sens o�_ ce n'est pas tr̬s coop̩ratif de ne pas participer, partager, pas forc̩ment au niveau du gain que cela pourrait apporter au groupe. / J'ai aussi esseyer de r̩fl̩chir en fonction de ce que les autres pourraient r̩pondre. / H̫nnetement en lisant les consigne, je me suis dis, que j'allais donner la totalit̩ des 4 euros, puis en voyant le curseur, peut-̻tre la moiti̩ au final pui en faisant des hypoth̬ses j'ai d̩cid̩ que je ne donnerai rien du tout. En ̩tant pas pas forc̩ment s��re de ce que ̤a allait me rapporter ou non mais plus dans le sens o�_ je fais aussi cette exp̩rience parce qu'elle est r̩mun̩r̩e et que si je peux avoire quelques euros en plus c'est dans mon int̩r̻t. donc c'est purement ̩go��ste m̻me si je ne suis pas s��re du gain final, c'est vraiment dans l'engagement o�_ je me dis moins je donne, moins je perds...",1,8,7,9,7,2,7,5,4,4,3,3,1,2,8,1,6,9,9,9,8,8,4,8,8,1,4,3,8,4,1,6,3,1,10,1,0,0,7,8,1,1,1,2,2,"Je ne sais pas trop, elle me laisse perplexe surtout au niveau de ma d̩cision. / Je suppose que c'est par rapport �� nos prise de  d̩cision par rapport �� notre engagement initial personnel avant m̻me d'avoir commencer l'̩tude, l'argent n'̩tant qu'un outil, et la ""solidarit̩"" un moyen d'influence.","non, juste je n'avais compris pourquoi la premi̬r ̩tude pouvait varier en focntion de 5 �� 30 euros de r̩mun̩ration en lisant l'annonce.",3,6,3,6,70,2,lyon,0,45.17149353,5.722396851,-1
R_2ZNsYsjhCuJINEi,Default Response Set,Anonymous,,,195.221.44.3,0,9/10/15 12:28,9/10/15 13:26,1,1,1,0,0,70.105,0,1,,,,,,,213,1,0,0,19.791,0,1,7,6,pour maximiser le profit,1,7,3,8,7,8,4,7,8,3,4,2,5,2,4,6,7,9,9,9,9,9,9,9,7,8,8,3,8,9,5,9,9,5,0,0,0,0,8,9,1,2,2,2,2,"cette etude est dans un premier temps une ̩tude sociologique, qui essais de determiner par des questions simples les comportements de certains individu dans la soci̩t̩. Je pense que cette ̩tude essaie de montrer que par des situations simples on peut arriver �� cr̩er des solutions durables","il n'y avait rien de louche, appart le fait qu'il y avait de questions pi̬ges, c'est �� dire celle qui avaient la m̻me signification",6,2,2,4,77,1,Grenoble,0,45.17149353,5.722396851,-1
R_31iOT0Gt707rCiV,Default Response Set,Anonymous,,,195.221.44.4,0,9/9/15 13:59,9/9/15 14:37,1,1,1,27.977,116.412,117.991,2,1,4,1,0,0,30.118,0,,,,,,,1,2,1,J'ai choisi d'allouer le montant de 4 euros car cela me permet de doubler le montant de ma somme et de contribuer �� un enrichissement plus cons̩quent de la cagnotte du groupe.,1,7,2,9,7,9,8,8,9,9,5,4,7,6,9,6,4,7,8,9,8,6,8,8,9,7,8,9,5,9,5,9,9,1,0,0,0,0,3,8,2,1,2,1,2,Cette ̩tude essaye de montrer le niveau de confiance qu'une personne peut ressentir au sein au sein d'un goupe d'inconnus. Elle permet ̩galement de montrer si une personne pourrait faire preuve d'egoisme ou si elle serai plus enclin �� partager avec les autres lorsqu'elle se trouve au sein d'un groupe. Cette ̩tude a utilis̩ un exemple de situation dans laquelle nous avons le choix entre partager notre somme d'argent ou la garder et en r̩pondant a un ensemble de questions sur notre participation quotidienne au sein de la soci̩t̩,non,3,3,2,2,76,2,France Vaucluse,3,45.17149353,5.722396851,-1
R_325znZCtUrsaOKd,Default Response Set,Anonymous,,,195.221.44.27,0,9/16/15 14:05,9/16/15 14:27,1,1,1,0,0,99.307,0,1,,,,,,,0,1,0,0,47.373,0,1,9,1,"Si je ne mise rien, et que les autres mettent 4euros, j'aurais donc 10 euros. Je ne suis pas l�� pour jouer la s̩curit̩. Qui ne tente rien n'a rien. J'aurais quand m̻me quelque chose �� la fin.",1,7,9,9,6,9,5,7,6,7,6,5,7,3,5,6,6,6,6,5,9,5,6,4,4,1,1,3,5,4,9,3,6,1,0,0,0,0,4,10,3,2,1,2,2,La g̩n̩rosit̩ et la confiance en les autres individus. Elle tente de le montrer en nous mettant en situation.,non,6,9,5,6,78,2,Albertville 73,3,45.17149353,5.722396851,-1
R_32JZacEsdwM4H4M,Default Response Set,Anonymous,,,195.221.44.28,0,9/14/15 16:17,9/14/15 16:39,1,1,1,0,0,68.22,0,1,319,1,0,0,10.586,0,,,,,,,1,9,1,J'ai choisi d'allouer ce montant comme d̩crit pr̩cedemment si tout le monde donne la totalit̩ de son argent chacun en retirera donc le double et si je suis la seule �� donner la totalit̩ de mon argent et pas les autres je n'aurai que 6 euros dans les 2 cas je gagne plus que ma mise de d̩part ce qui logiquement m'a pouss̩ �� donner la ce montant.,1,9,8,9,9,9,3,5,8,3,2,2,3,2,3,2,4,6,1,8,9,8,8,1,7,1,5,2,6,4,1,9,1,1,0,5,0,1,1,4,3,3,2,2,2,Je pense que cette ̩tude essaye de montrer la prise de d̩cision des gens quand il s'agit de leurs int̩r̻ts et la confiance que l'on peu ou non avoir dans un groupe quand on doit prendre une d̩cision �� plusieurs.,non,5,2,5,6,74,2,Djibouti,1,45.17149353,5.722396851,-1
R_32XDuhgLwUMZH2I,Default Response Set,Anonymous,,,195.221.44.5,0,9/14/15 16:17,9/14/15 16:41,1,1,1,0,0,66.129,0,1,325,1,0,0,14.837,0,,,,,,,1,5,2,j'ai choisi ce montant pour que tous le monde est le maximum d'argent possible,1,5,2,7,8,9,6,7,8,7,8,3,8,4,7,6,5,8,7,6,8,7,6,7,7,5,9,6,6,2,4,6,9,3,0,0,0,0,6,8,3,1,2,2,2,L'etude veut nous montrer si on prend nos decisions en fonctions de nous ou des autres et si les choix que nous faisont sont reflechis pour notre interet ou celui d'autruis et notre vison de la soci̩t̩ . Je pense ca par rapport aux questions quon ma demander,non,6,4,5,4,78,2,grenoble 38,2,45.17149353,5.722396851,-1
R_3CNGJHp0hfEfc9d,Default Response Set,Anonymous,,,195.221.44.3,0,9/9/15 09:10,9/9/15 09:36,1,1,1,0,0,56.04,0,1,,,,,,,350,1,28.949,28.949,35.644,1,1,9,1,"Au cas o�_ les personnes ne mettent pas tout, je ne veux pas qu'ils ramassent l'ensemble des 10euros, je pense que chacun va avoir ""peur"" que les autres fassent ̤a aussi, donc tout le monde met un peu moins mais finalement, on est gagnant dans l'ensemble. Je ne voulais pas prendre le risque de ""tout"" perdre. Je me suis dis que si je pense comme ̤a, les autres vont surement penser comme ̤a aussi.",1,9,4,9,8,8,4,8,7,9,7,9,1,7,9,6,1,7,9,9,8,7,7,7,8,2,8,3,8,1,9,9,7,1,5,0,0,1,6,8,1,2,2,1,2,"Je pense que l'̩tude cherche �� savoir si nous serions capable de tout sacrifier sans savoir ce que les autres feraient pour l'int̩r̻t commun, sachant qu'on ne sait pas avec qui on interagit dans la salle et qu'on ne sait pas ce qu'ils vont faire, donc on risque de tout perdre ou alors de gagner beaucoup (mais toujours moins que si on ̩tait ""̩goiste""). En gros est ce qu'on est pr̻t pour l'int̩r̻t commun �� gagner moins, sous des suppositions ou pas.","Je pensais que la panne d'ordinateur ̩tait fictive, et que vous chercheriez �� d̩terminer qui se serait dit ""c'est pas grave, je suis venue pour rien, je reviendrai"" d'eux m̻me, en prenant cette d̩cision.",5,2,4,6,77,2,"France, Allevard (38)",3,45.17149353,5.722396851,-1
R_3Dhmgt6BqZafPG9,Default Response Set,Anonymous,,,195.221.44.28,0,9/9/15 16:41,9/9/15 17:00,1,1,1,0,0,53.295,0,1,,,,,,,400,1,0,0,18.928,0,1,9,3,Pour que les  individus aient la m̻me somme et qu'il n'y en ait pas un de p̩nalis̩ par apport aux autres et inversement,1,9,6,7,9,7,5,6,4,5,3,5,2,1,4,4,5,6,7,7,6,7,8,4,7,1,1,9,5,4,2,8,5,1,15,1,0,0,4,7,2,3,2,2,2,"montrer si le fait de savoir qu'on soit ou non en comp̩tition avec des indivus et en situation d'entraide va influenc̩ ou non notre prise de d̩cision. Cette ̩tude tente de le montrer en mettant en jeu cette notion d'argent, de pot commun avec d'autres personnes. Les questions aussi de confiance en certains inconnus ou connus mettent ̩galement en ̩vidence la prise de d̩cision.",NON,4,6,2,5,75,2,France Ard̬che Privas,2,45.17149353,5.722396851,-1
R_3DnMKISRw8usv5t,Default Response Set,Anonymous,,,195.221.44.25,0,9/15/15 13:57,9/15/15 14:33,1,1,1,0,0,163.202,0,1,400,1,0,0,16.788,0,,,,,,,1,9,1,"choisi pour une exp̩rience, donc au d̩part 0 euros donc b̩n̩fice de toute mani̬re alors autant maximiser celui des autres",1,9,1,9,5,9,1,1,5,1,9,1,1,1,1,9,1,1,9,5,9,9,8,5,5,9,1,5,1,9,9,9,9,1,0,0,0,0,1,3,3,1,3,1,2,"mesure de l'ego, rapports en comp̩tition ou en groupe, rapport a l'autre",diff̩rence de question pos̩es en fonction des r̩ponses pr̩c̩dentes,3,4,7,9,77,1,France (26),1,45.17149353,5.722396851,-1
