"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar"
"alogna","RR1",32,32.8463890895713,44.9853432803658,0.376617759383319,0.802,56.1674559638495,0.721761464393784,1.21406451612903,59.7538310250394,0.80168380124446,1.34508602150538,73.6621723197313,0.961120473357265,1.84617204301075,0.0081901622142054
"alogna","RR2",23,16.2752713132465,33.9244384714443,0.801992954974001,0.988,42.4143875567813,0.939680225956837,1.43636363636364,45.1202048914516,0.960744487890661,1.57748484848485,55.5611785931957,0.993814352858139,2.1159696969697,0.0102058893096616
