"paper","nstudies","nonreplication","nonrep0","nonrep25","nonrep33","nonrep67","mdh0ratio","mdh25ratio","mdh33ratio","mdh67ratio"
"alogna",2,0,0,0,0,0,1.2846869876798,1.38624342532363,1.41568617122541,1.51688181806333
"cheung",4,2,1,1,1,1,1.77450768301875,1.91478518297574,1.95545374995969,2.09523289812889
"eerland",3,3,3,3,2,2,1.17600781058903,1.26897299590662,1.2959250079358,1.38855992384939
"hagger",2,1,1,1,0,0,2.05120782826523,2.21335889066681,2.26036893393689,2.42194393623001
"manylabs",15,3,7,6,6,6,1.12344219936477,1.21225199409329,1.2379992955982,1.32649358342084
"rand",1,1,0,0,0,0,1.77693399064482,1.91740329386712,1.95812746751604,2.09809773754761
"rpe",18,7,3,3,3,3,0.989879798238724,1.0681312843741,1.09081757267027,1.168791061493
"rpp",73,46,22,16,15,11,1.77189651810868,1.91196760155417,1.95257632527226,2.09214979024812
"wagenmakers",1,1,0,0,0,0,1.56132854213739,1.68475391053587,1.72053678992687,1.84352367565337
