"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot","outliersite","stdresid","Qi"
"manylabs","Allowedforbidden",34,20.3916209729796,47.3998839190816,0.95775266197262,0.773,59.1717418186947,0.994419335697561,1.17857575757576,62.9512700197632,0.997279860521158,1.30843434343434,77.6210323981261,0.99987036996678,1.80386868686869,0.405690458463843,1,1.34966808412261,"laurier",2.552484247,20.3916209729797
"manylabs","Anchoring1",35,52.9181198763856,48.6023673672949,0.0203407162825469,0.759,60.6681400495196,0.156531595569836,1.16235294117647,64.5439609982169,0.236006902019137,1.29113725490196,79.5934129030242,0.613071508056188,1.78327450980392,0.0551891386838333,1,1.1493525614529,"conncoll",2.9413027651056,52.9181198763843
"manylabs","Anchoring2",35,101.072261132305,48.6023673672949,1.4106400048064e-08,0.759,60.6681400495196,7.23464237617488e-06,1.16235294117647,64.5439609982169,2.94813141621386e-05,1.29113725490196,79.5934129030242,0.00167760021105801,1.78327450980392,0.0719341346068563,1,1.92779215347866,"pi",-7.4604686016416,101.072261132304
"manylabs","Anchoring3",35,236.167179881091,48.6023673672949,0,0.759,60.6681400495196,0,1.16235294117647,64.5439609982169,0,1.29113725490196,79.5934129030242,0,1.78327450980392,0.0823857059814986,1,2.26733616943477,"swpson",-8.99846498127594,236.167179881089
"manylabs","Anchoring4",35,69.4317728456971,48.6023673672949,0.000318155502915252,0.759,60.6681400495196,0.0105689795028009,1.16235294117647,64.5439609982169,0.022586611733852,1.29113725490196,79.5934129030242,0.167763350239868,1.78327450980392,0.0765472364745683,1,2.4042214254456,"ufl",4.6011051756821,69.4317728456975
"manylabs","Flagpriming",35,22.9015565006675,48.6023673672949,0.925809820257323,0.759,60.6681400495196,0.988901895503864,1.16235294117647,64.5439609982169,0.99440297408152,1.29113725490196,79.5934129030242,0.999702315153867,1.78327450980392,0.0368311436157582,0,0.00757661259225588,"unipd",2.79437909566713,22.9015565006675
"manylabs","Gainloss",35,30.4301080571817,48.6023673672949,0.643333382059125,0.759,60.6681400495196,0.898122176624821,1.16235294117647,64.5439609982169,0.93748139072914,1.29113725490196,79.5934129030242,0.993223488314265,1.78327450980392,0.165952398966441,1,-1.17974853273327,"ufl",-2.56544310872748,30.4301080571813
"manylabs","Gamblersfallacy",35,44.1989636263092,48.6023673672949,0.11309957697707,0.759,60.6681400495196,0.413733651942752,1.16235294117647,64.5439609982169,0.525126447212965,1.29113725490196,79.5934129030242,0.85237836240249,1.78327450980392,0.0409178866250139,1,0.640140742848181,"osu",-2.67614874064014,44.1989636263091
"manylabs","IAT",34,37.5827656173874,47.3998839190816,0.267237458012021,0.773,59.1717418186947,0.627498321178439,1.17857575757576,62.9512700197632,0.724410749782879,1.30843434343434,77.6210323981261,0.939305229191068,1.80386868686869,0.0101360726550073,1,0.387497696255537,"ufl",3.2946487944017,37.5827656173878
"manylabs","Imaginedcontact",35,37.9656687034101,48.6023673672949,0.293361618369702,0.759,60.6681400495196,0.65965805195931,1.16235294117647,64.5439609982169,0.753388621113657,1.29113725490196,79.5934129030242,0.95044537891164,1.78327450980392,0.0356422842125797,0,0.145469889448228,"tilburg",-2.91091482703123,37.9656687034101
"manylabs","Mathartgender",34,40.3168890340874,47.3998839190816,0.178181076738156,0.773,59.1717418186947,0.516326283558642,1.17857575757576,62.9512700197632,0.623629384975942,1.30843434343434,77.6210323981261,0.899194246665188,1.80386868686869,0.0546081774826504,1,0.597945016950947,"tamuon",-2.80264549642755,40.316889034087
"manylabs","Moneypriming",35,24.4605336952813,48.6023673672949,0.885727593092654,0.759,60.6681400495196,0.980286761691982,1.16235294117647,64.5439609982169,0.989621826726869,1.29113725490196,79.5934129030242,0.999355236991535,1.78327450980392,0.0359008639307592,0,-0.0239752511721867,"mcdaniel",2.08350062364549,24.4605336952813
"manylabs","Quote Attribution",35,56.0029754752808,48.6023673672949,0.0101357032352692,0.759,60.6681400495196,0.102293027064385,1.16235294117647,64.5439609982169,0.164462575920408,1.29113725490196,79.5934129030242,0.514896788706069,1.78327450980392,0.036827056540675,1,0.336011845127022,"unipd",-3.5332026912896,56.0029754752806
"manylabs","Reciprocity",35,31.4786057063667,48.6023673672949,0.591809700050153,0.759,60.6681400495196,0.873573536321931,1.16235294117647,64.5439609982169,0.920451159183324,1.29113725490196,79.5934129030242,0.990550521001579,1.78327450980392,0.061986833085419,1,0.336340396643383,"mturk",2.72297847248138,31.4786057063667
"manylabs","Scales",35,92.1065813580917,48.6023673672949,2.94618149876413e-07,0.759,60.6681400495196,7.06822820629727e-05,1.16235294117647,64.5439609982169,0.000241276588532902,1.29113725490196,79.5934129030242,0.00782374614065273,1.78327450980392,0.00366218582083137,1,0.140429742920925,"ku",-4.37046623033451,92.1065813580918
"manylabs","Sunkcosts",35,31.5219141055612,48.6023673672949,0.589665458376786,0.759,60.6681400495196,0.872490540554845,1.16235294117647,64.5439609982169,0.919687786037787,1.29113725490196,79.5934129030242,0.990424058073896,1.78327450980392,0.0364178008279014,1,0.278510711059189,"oxy",2.13151779997779,31.5219141055611
