"paper","experiment","tau2","ci.lb","ci.ub","I2","H2"
"alogna","RR1",0.00039544929805018,0,0.00631803486683585,5.00847298440357,1.05272547080521
"alogna","RR2",0,0,0.00428611045453091,0,1
