"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","t1","t2","v1","v2","replicated"
"manylabs","Allowedforbidden",2,13.5728485363421,3.84145882069418,0.000229480864594289,7.849,4.75884383138652,0.000740249871039933,9.139,5.04323657468101,0.000955824945179207,9.53133333333333,6.08289572202274,0.00207112881564797,10.9426666666667,0.91753219696222,1.37768194148473,0.00854832584253234,0.00705177363674716,1
"manylabs","Anchoring1",2,2.52154103823498,3.84145882069418,0.1123007906862,7.849,4.75884383138652,0.15671346020023,9.139,5.04323657468101,0.171290232614187,9.53133333333333,6.08289572202274,0.228322025769408,10.9426666666667,0.93,1.22011832209522,0.0313487777769949,0.00203106397020125,1
"manylabs","Anchoring2",2,31.7080399104765,3.84145882069418,1.79178898385146e-08,7.849,4.75884383138652,1.44548359393148e-07,9.139,5.04323657468101,2.1700305041783e-07,9.53133333333333,6.08289572202274,7.37928472327454e-07,10.9426666666667,0.93,2.01666870904629,0.0313487777769949,0.00589253031250857,1
"manylabs","Anchoring3",2,50.9674834978866,3.84145882069418,9.3913765653042e-13,7.849,4.75884383138652,1.57857060756328e-11,9.139,5.04323657468101,2.6586843837606e-11,9.53133333333333,6.08289572202274,1.28554500378186e-10,10.9426666666667,0.93,2.42358000668625,0.0313487777769949,0.0124199367695137,1
"manylabs","Anchoring4",2,73.2905514302566,3.84145882069418,0,7.849,4.75884383138652,3.33066907387547e-16,9.139,5.04323657468101,6.66133814775094e-16,9.53133333333333,6.08289572202274,4.77395900588817e-15,10.9426666666667,0.93,2.54175839518385,0.0313487777769949,0.00409597019870639,1
"manylabs","Flagpriming",2,3.67476204846707,3.84145882069418,0.0552421384449809,7.849,4.75884383138652,0.086071524748238,9.139,5.04323657468101,0.0964949953938345,9.53133333333333,6.08289572202274,0.138697233856672,10.9426666666667,0.5,0.0182884262841459,0.0625,0.000645868274274421,0
"manylabs","Gainloss",2,13.5650109526564,3.84145882069418,0.000230441069955845,7.849,4.75884383138652,0.000742989623578882,9.139,5.04323657468101,0.000959282016663177,9.53133333333333,6.08289572202274,0.00207810846276735,10.9426666666667,-2.19957778751616,-1.20132248613363,0.0701063533958936,0.00335570647389052,1
"manylabs","Gamblersfallacy",2,0.0793687486459569,3.84145882069418,0.778154692309186,7.849,4.75884383138652,0.803580952392842,9.139,5.04323657468101,0.811391623373801,9.53133333333333,6.08289572202274,0.839650191207116,10.9426666666667,0.69,0.613807493575298,0.0718313559322034,0.00131201767916762,1
"manylabs","IAT",2,0.386830388722092,3.84145882069418,0.533970207101685,7.849,4.75884383138652,0.582406957397065,9.139,5.04323657468101,0.597414691329694,9.53133333333333,6.08289572202274,0.652276048218722,10.9426666666667,0.447692023527421,0.406028486875621,0.00416666666666667,0.000320701277900199,1
"manylabs","Imaginedcontact",2,3.34912248662535,3.84145882069418,0.0672408496086799,7.849,4.75884383138652,0.101650591177044,9.139,5.04323657468101,0.113188575856549,9.53133333333333,6.08289572202274,0.159461157692282,10.9426666666667,0.86,0.116570294574236,0.163983838383838,0.00104079989576635,0
"manylabs","Mathartgender",2,3.19953545059096,3.84145882069418,0.0736591901366531,7.849,4.75884383138652,0.109794616769574,9.139,5.04323657468101,0.121864905254847,9.53133333333333,6.08289572202274,0.170059328438819,10.9426666666667,1.01,0.576683006188339,0.0570973547549497,0.00158729494671067,1
"manylabs","Moneypriming",2,4.61988762468124,3.84145882069418,0.031603308583899,7.849,4.75884383138652,0.0535654693219276,9.139,5.04323657468101,0.0611685372795081,9.53133333333333,6.08289572202274,0.0927920470166957,10.9426666666667,0.8,-0.0174401748359549,0.144,0.000637379460488692,0
"manylabs","Reciprocity",2,10.2590884068124,3.84145882069418,0.00136012871653035,7.849,4.75884383138652,0.00354257226448806,9.139,5.04323657468101,0.00440273710924632,9.53133333333333,6.08289572202274,0.00853432367473994,10.9426666666667,0.16,0.367422727192498,0.00286989795918367,0.0013238652729768,1
"manylabs","Scales",2,0.0288995353660346,3.84145882069418,0.865011211377368,7.849,4.75884383138652,0.880729865907893,9.139,5.04323657468101,0.885551618674202,9.53133333333333,6.08289572202274,0.902966618276632,10.9426666666667,0.213235294117647,0.14974639086439,0.139258995188149,0.00021870870043705,1
"manylabs","Sunkcosts",2,0.192792345597149,3.84145882069418,0.660602663356705,7.849,4.75884383138652,0.698132555551735,9.139,5.04323657468101,0.709698065506186,9.53133333333333,6.08289572202274,0.751702047938099,10.9426666666667,0.227912862495395,0.289388558885217,0.018901277635894,0.000701478038393096,1
