"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","t1","t2","v1","v2","replicated"
"rpp","A Roelofs",2,3.34915975048605,3.84145882069418,0.06723932739915,7.849,4.75884383138652,0.101648645099103,9.139,5.04323657468101,0.113186498640939,9.53133333333333,6.08289572202274,0.159458605222585,10.9426666666667,1.47908495588093,0.300000000144246,0.269030100291882,0.14607142857452,0
"rpp","AL Morris",2,2.49336081683693,3.84145882069418,0.114327354888886,7.849,4.75884383138652,0.159092339036907,9.139,5.04323657468101,0.173773913812269,9.53133333333333,6.08289572202274,0.231166559780497,10.9426666666667,1.54413335904185,0.471814259322305,0.277580340456776,0.183591682404342,0
"rpp","B Liefooghe",2,5.62091717934357,3.84145882069418,0.017747358964827,7.849,4.75884383138652,0.0327299866541034,9.139,5.04323657468101,0.0380449014215344,9.53133333333333,6.08289572202274,0.0607683138383502,10.9426666666667,0.938971067177027,-0.440820350529251,0.203402777708149,0.135300728433572,0
"rpp","BC Storm",2,7.14625145319944,3.84145882069418,0.00751208356219779,7.849,4.75884383138652,0.0156345726368142,9.139,5.04323657468101,0.0186214739792409,9.53133333333333,6.08289572202274,0.0319150514110275,10.9426666666667,0.469938405385647,-0.0122169439216607,0.0176604272169724,0.0148704433223747,0
"rpp","C Mitchell",2,2.35212834674465,3.84145882069418,0.125112087277251,7.849,4.75884383138652,0.171639090693566,9.139,5.04323657468101,0.186842123224602,9.53133333333333,6.08289572202274,0.246017721509906,10.9426666666667,1.03985110522266,0.272107614076015,0.163912591001057,0.086681756460386,0
"rpp","CJ Berry",2,0.905591669373804,3.84145882069418,0.341286790543916,7.849,4.75884383138652,0.399072129040444,9.139,5.04323657468101,0.417234854149239,9.53133333333333,6.08289572202274,0.484775076047716,10.9426666666667,1.48045234095975,0.86210545010964,0.269206049297966,0.153007284100282,1
"rpp","CP Beaman",2,8.49531764837966,3.84145882069418,0.00356061607841973,7.849,4.75884383138652,0.00819396814033546,9.139,5.04323657468101,0.00995089781891179,9.53133333333333,6.08289572202274,0.0180400863840171,10.9426666666667,2.04625699437016,0.265123151737597,0.0826986635051395,0.290735020399091,0
"rpp","CS Dodson",2,8.90131208287388,3.84145882069418,0.00284965819429261,7.849,4.75884383138652,0.00675224019026099,9.139,5.04323657468101,0.00824550372032107,9.53133333333333,6.08289572202274,0.0151893893009589,10.9426666666667,1.35686442922724,-0.222594669535617,0.153712659981636,0.126548387090802,0
"rpp","D Ganor-Stern",2,0.51212664402316,3.84145882069418,0.474219694522099,7.849,4.75884383138652,0.526700894217339,9.139,5.04323657468101,0.543018475923661,9.53133333333333,6.08289572202274,0.60291728843269,10.9426666666667,1.95265386908748,2.49882731082162,0.252027649434268,0.330456062235742,1
"rpp","D Mirman",2,1.10481003012653,3.84145882069418,0.293212921844857,7.849,4.75884383138652,0.351221682921937,9.139,5.04323657468101,0.369554175349354,9.53133333333333,6.08289572202274,0.438167696446308,10.9426666666667,1.81527906665784,1.05464489939276,0.347392289992674,0.176285374614316,1
"rpp","JR Schmidt",2,0.201184162738552,3.84145882069418,0.65376671703141,7.849,4.75884383138652,0.691950710517504,9.139,5.04323657468101,0.703720558399739,9.53133333333333,6.08289572202274,0.746478745017078,10.9426666666667,0.397922317711388,0.509527891964372,0.0442376826694979,0.0176747662767206,1
"rpp","K Oberauer",2,0.530343538963183,3.84145882069418,0.466462464389446,7.849,4.75884383138652,0.519404303452982,9.139,5.04323657468101,0.53587342415519,9.53133333333333,6.08289572202274,0.596365048715573,10.9426666666667,1.35360927167041,0.877916193476481,0.188137356785551,0.238536842138412,0
"rpp","L Sahakyan",2,2.16894077483016,3.84145882069418,0.140823201671211,7.849,4.75884383138652,0.189606182711715,9.139,5.04323657468101,0.205469601255485,9.53133333333333,6.08289572202274,0.266869222259006,10.9426666666667,0.459879724844959,0.0388514343852708,0.0443314669612997,0.0373972844294747,0
"rpp","M Bassok",2,0.292429203598154,3.84145882069418,0.588668028464942,7.849,4.75884383138652,0.632732524530543,9.139,5.04323657468101,0.646349669454095,9.53133333333333,6.08289572202274,0.695970722376085,10.9426666666667,0.780957576094734,0.593014895155185,0.0301300309520246,0.0906597222057482,1
"rpp","M Reynolds",2,0.00250490391558549,3.84145882069418,0.960083328809823,7.849,4.75884383138652,0.964769985817837,9.139,5.04323657468101,0.966206566608149,9.53133333333333,6.08289572202274,0.971390496814422,10.9426666666667,0.326164036537304,0.291174533323742,0.273758865248687,0.214988558360858,1
"rpp","MJ Yap",2,6.63562141343234e-05,3.84145882069418,0.993500558210509,7.849,4.75884383138652,0.994264246893963,9.139,5.04323657468101,0.994498321021738,9.53133333333333,6.08289572202274,0.995342912120756,10.9426666666667,0.816759923841455,0.82055730153517,0.150551508812694,0.066761632644324,1
"rpp","N Janssen 1",2,1.41399185981027,3.84145882069418,0.234394850531507,7.849,4.75884383138652,0.290974600286655,9.139,5.04323657468101,0.309006082926441,9.53133333333333,6.08289572202274,0.377165553189847,10.9426666666667,0.727346038385145,0.207632152570772,0.146097814824341,0.0449234567864575,0
"rpp","NB Turk-Browne",2,0.0228905493700685,3.84145882069418,0.879742042663056,7.849,4.75884383138652,0.893771783578433,9.139,5.04323657468101,0.898074728436917,9.53133333333333,6.08289572202274,0.913612749119074,10.9426666666667,2.18614651344413,1.9820093679085,1.25417665403485,0.566311509605505,1
