"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot","outliersite","stdresid","Qi"
"manylabs","Allowedforbidden",35,26.9067968041629,48.6023673672949,0.801245957363656,0.759,60.6681400495196,0.957486576558752,1.16235294117647,64.5439609982169,0.976115639008757,1.29113725490196,79.5934129030242,0.998122388842914,1.78327450980392,0.1234384070706,1,0.759555863041325,"original",-3.68413470659558,26.9067968041629
"manylabs","Anchoring1",36,54.4104410420345,49.8018495682026,0.0192890788045162,0.746,62.1609334588843,0.154649705085171,1.14714285714286,66.1328683645945,0.234798639455382,1.27485714285714,81.5613668951049,0.616852639924659,1.76471428571429,0.0545269064364212,1,1.1432751233173,"conncoll",2.96400016550725,54.4104410420357
"manylabs","Anchoring2",36,131.445844495582,49.8018495682026,4.35873559467836e-13,0.746,62.1609334588843,2.49092213522317e-09,1.14714285714286,66.1328683645945,1.76133636564657e-08,1.27485714285714,81.5613668951049,5.70809523281479e-06,1.76471428571429,0.0708067635838046,1,1.88428162250701,"pi",-6.92936027152774,131.44584449558
"manylabs","Anchoring3",36,291.060660336207,49.8018495682026,0,0.746,62.1609334588843,0,1.14714285714286,66.1328683645945,0,1.27485714285714,81.5613668951049,0,1.76471428571429,0.0809680135313735,1,2.21676959430519,"swpson",-8.72169461797611,291.060660336206
"manylabs","Anchoring4",36,90.6019416833857,49.8018495682026,8.09255836342615e-07,0.746,62.1609334588843,0.000156831326875828,1.14714285714286,66.1328683645945,0.000508175919959442,1.27485714285714,81.5613668951049,0.0137934497595821,1.76471428571429,0.0772607844347215,1,2.42240643766673,"original",-8.26507743754637,90.601941683388
"manylabs","Flagpriming",36,26.7406735341861,49.8018495682026,0.840420904016696,0.746,62.1609334588843,0.969719110744428,1.14714285714286,66.1328683645945,0.983649331134506,1.27485714285714,81.5613668951049,0.998901838825159,1.76471428571429,0.0375441674042093,0,0.012726607365153,"unipd",2.76481455892613,26.7406735341861
"manylabs","Gainloss",36,37.0116064012988,49.8018495682026,0.376232355028195,0.746,62.1609334588843,0.738839062182077,1.14714285714286,66.1328683645945,0.819789164346587,1.27485714285714,81.5613668951049,0.970265704497228,1.76471428571429,0.050567477918792,1,-0.66012638792965,"original",-3.70954184541186,37.0116064012985
"manylabs","Gamblersfallacy",36,44.2332212174982,49.8018495682026,0.136241936600387,0.746,62.1609334588843,0.460769103216294,1.14714285714286,66.1328683645945,0.573381305398869,1.27485714285714,81.5613668951049,0.880724925014063,1.76471428571429,0.0417765941057691,1,0.640645690155626,"osu",-2.6789643852383,44.2332212174979
"manylabs","IAT",35,38.0573905218333,48.6023673672949,0.289822548284385,0.759,60.6681400495196,0.656083027859388,1.16235294117647,64.5439609982169,0.750344529887977,1.29113725490196,79.5934129030242,0.949485369651095,1.78327450980392,0.0461309946291684,1,0.791946825726368,"ufl",3.08936982601466,38.057390521833
"manylabs","Imaginedcontact",36,41.0668811910471,49.8018495682026,0.221921542957884,0.746,62.1609334588843,0.585000377139034,1.14714285714286,66.1328683645945,0.689546344985644,1.27485714285714,81.5613668951049,0.930357266870222,1.76471428571429,0.0392073273840036,0,0.14827530168896,"tilburg",-2.92321345988366,41.0668811910471
"manylabs","Mathartgender",35,43.2451611236926,48.6023673672949,0.132986695123154,0.759,60.6681400495196,0.450048622370037,1.16235294117647,64.5439609982169,0.561348020535684,1.29113725490196,79.5934129030242,0.871864205096122,1.78327450980392,0.0546792968332875,1,0.604237183877717,"tamuon",-2.84007548097329,43.2451611236927
"manylabs","Moneypriming",36,28.8015085440125,49.8018495682026,0.760754777670273,0.746,62.1609334588843,0.94582958557414,1.14714285714286,66.1328683645945,0.969141002961916,1.27485714285714,81.5613668951049,0.997483465883584,1.76471428571429,0.0360683653482335,0,-0.0174401748359549,"original",2.14939238499657,28.8015085440125
"manylabs","Reciprocity",36,38.8932174679637,49.8018495682026,0.298682614345908,0.746,62.1609334588843,0.669645622120954,1.14714285714286,66.1328683645945,0.763048831395343,1.27485714285714,81.5613668951049,0.954759340219222,1.76471428571429,0.0604577603973593,1,0.373839732731997,"original",-3.41270838169704,38.8932174679637
"manylabs","Scales",26,26.2826896934042,37.6524841334833,0.392638318810273,0.914,47.0477554366536,0.706159566233202,1.348,50.0494490587575,0.781304228074002,1.48466666666667,61.6547182308485,0.945639452892053,2.00833333333333,0.203307795594354,1,0.745155944888415,"original",-5.81276688123267,26.2826896934043
"manylabs","Sunkcosts",36,31.6528165311539,49.8018495682026,0.630486381180001,0.746,62.1609334588843,0.894633003461929,1.14714285714286,66.1328683645945,0.935585467965865,1.27485714285714,81.5613668951049,0.99320676574179,1.76471428571429,0.0359312307392345,1,0.276812631152966,"oxy",2.14118554940163,31.6528165311539
