"paper","experiment","tau2","ci.lb","ci.ub","I2","H2"
"alogna","RR1",0.000446716376567455,0,0.00631803486683585,5.62128483753945,1.05956093837327
"alogna","RR2",0,0,0.00428611045453091,0,1
