"experiment","tau2","ci.lb","ci.ub","paper"
"Imagery",0.0113370849688067,0,0.160585784724455,"eerland"
"Intention_attribution",0.0119173804797002,0,0.150164429897612,"eerland"
"Intentionality",0.0588986331939466,0.0115832515088301,0.330208566199495,"eerland"
