"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot"
"manylabs","Allowedforbidden",36,40.479645340505,49.8018495682026,0.241220101693265,0.746,61.8272453724219,0.59887125739934,1.136,65.6943219057711,0.699677556021667,1.26033333333333,80.7195008867783,0.931293379812801,1.73866666666667,0.12008173963746,1,0.644877645234826
"manylabs","Anchoring1",37,63.1957380231615,50.9984601657114,0.00337830930914373,0.733,63.3178033961056,0.0509804727696443,1.122,67.2811265588938,0.0904243343349322,1.24533333333333,82.6857099582531,0.378912056165361,1.72066666666667,0.055053183335103,1,1.15268381856428
"manylabs","Anchoring2",37,179.461878268208,50.9984601657114,0,0.733,63.3178033961056,9.99200722162641e-16,1.122,67.2811265588938,1.50990331349021e-14,1.24533333333333,82.6857099582531,5.67218494396116e-11,1.72066666666667,0.0690130264323548,1,1.75995964827718
"manylabs","Anchoring3",37,367.12861734544,50.9984601657114,0,0.733,63.3178033961056,0,1.122,67.2811265588938,0,1.24533333333333,82.6857099582531,0,1.72066666666667,0.0796084156421328,1,2.15883982946387
"manylabs","Anchoring4",37,158.913446732024,50.9984601657114,0,0.733,63.3178033961056,8.22675261247241e-13,1.122,67.2811265588938,8.96571705766291e-12,1.24533333333333,82.6857099582531,1.17144097755428e-08,1.72066666666667,0.0760199193899181,1,2.36491889161901
"manylabs","Flagpriming",37,34.384873079436,50.9984601657114,0.545500918051872,0.733,63.3178033961056,0.84966461688194,1.122,67.2811265588938,0.903631480341567,1.24533333333333,82.6857099582531,0.987853095580556,1.72066666666667,0.0373141553166017,0,0.0232154663473614
"manylabs","Gainloss",37,50.7723071041605,50.9984601657114,0.0522247165017512,0.733,63.3178033961056,0.271661584709581,1.122,67.2811265588938,0.374034736909192,1.24533333333333,82.6857099582531,0.751901204445375,1.72066666666667,0.0497767292215479,1,-0.682006134974863
"manylabs","Gamblersfallacy",37,51.4100713948735,50.9984601657114,0.0461604103541644,0.733,63.3178033961056,0.253273674033832,1.122,67.2811265588938,0.353085600815214,1.24533333333333,82.6857099582531,0.734438592468449,1.72066666666667,0.0416795587225213,1,0.630766309960087
"manylabs","IAT",36,47.6015964437232,49.8018495682026,0.0758520249146906,0.746,61.8272453724219,0.329626755556038,1.136,65.6943219057711,0.436415965747832,1.26033333333333,80.7195008867783,0.79475884569924,1.73866666666667,0.0462699590112035,1,0.803023873876281
"manylabs","Imaginedcontact",37,49.6120581230921,50.9984601657114,0.0650223940475119,0.733,63.3178033961056,0.307143693589641,1.122,67.2811265588938,0.413525632074477,1.24533333333333,82.6857099582531,0.782354397140151,1.72066666666667,0.039552756596065,0,0.140071548252811
"manylabs","Mathartgender",36,51.3111898613182,49.8018495682026,0.0370222074705309,0.746,61.8272453724219,0.219226275530943,1.136,65.6943219057711,0.311958758479704,1.26033333333333,80.7195008867783,0.692322596886196,1.73866666666667,0.0539490633647306,1,0.589761698335703
"manylabs","Moneypriming",37,33.4213961686937,50.9984601657114,0.591855203091669,0.733,63.3178033961056,0.874193049047053,1.122,67.2811265588938,0.921110667056449,1.24533333333333,82.6857099582531,0.990829852649952,1.72066666666667,0.038985436555038,0,-0.0138379277573492
"manylabs","Reciprocity",37,50.5397959664689,50.9984601657114,0.0546002773028029,0.733,63.3178033961056,0.278564756015229,1.122,67.2811265588938,0.381811865918427,1.24533333333333,82.6857099582531,0.758144618110844,1.72066666666667,0.058901331682814,1,0.316306274036654
"manylabs","Scales",27,60.0709485089595,38.8851386598306,0.000164053618900484,0.892,48.2325625425219,0.0044660832086143,1.307,51.2239613687203,0.00937831304483328,1.43733333333333,62.800798789465,0.0742784542565816,1.93966666666667,0.197749358005254,1,0.686897820031631
"manylabs","Sunkcosts",37,36.2374920881202,50.9984601657114,0.457571297662908,0.733,63.3178033961056,0.795715228417971,1.122,67.2811265588938,0.863570868814311,1.24533333333333,82.6857099582531,0.979987465726362,1.72066666666667,0.0359035321769564,1,0.284017207461792
