"experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated","paper"
"RTV",2,4.9982802422133,3.84145882069418,0.0253725174990388,7.849,4.75884383138652,0.0444224599516364,9.139,5.04323657468101,0.0510789488505419,9.53133333333333,6.08289572202274,0.0790582087973507,10.9426666666667,0,"hagger"
"RT",2,0.499627634166281,3.84145882069418,0.479663782200144,7.849,4.75884383138652,0.531812292277914,9.139,5.04323657468101,0.548020812924615,9.53133333333333,6.08289572202274,0.607494602884527,10.9426666666667,1,"hagger"
