"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot"
"manylabs","Allowedforbidden",36,27.6552682611214,49.8018495682026,0.806980213985494,0.746,61.8272453724219,0.958395477298123,1.136,65.6943219057711,0.976544540222572,1.26033333333333,80.7195008867783,0.998125470892526,1.73866666666667,0.122304207347881,1,0.737927272743267
"manylabs","Anchoring1",36,61.5693818324035,49.8018495682026,0.00364280853326326,0.746,61.8272453724219,0.0521148149816458,1.136,65.6943219057711,0.0915235939577564,1.26033333333333,80.7195008867783,0.376139602929391,1.73866666666667,0.0557116390450504,1,1.1589536758397
"manylabs","Anchoring2",36,156.730852888385,49.8018495682026,0,0.746,61.8272453724219,8.04689648248313e-13,1.136,65.6943219057711,8.53428439029358e-12,1.26033333333333,80.7195008867783,1.03513277949219e-08,1.73866666666667,0.0700592555616703,1,1.7885837453116
"manylabs","Anchoring3",36,317.139551900341,49.8018495682026,0,0.746,61.8272453724219,0,1.136,65.6943219057711,0,1.26033333333333,80.7195008867783,0,1.73866666666667,0.0809489611383866,1,2.20526473861266
"manylabs","Anchoring4",36,90.6019416833857,49.8018495682026,8.09255836342615e-07,0.746,61.8272453724219,0.000140915843413136,1.136,65.6943219057711,0.000450015775173451,1.26033333333333,80.7195008867783,0.0119889464168108,1.73866666666667,0.0772607844347215,1,2.42240643766673
"manylabs","Flagpriming",36,30.710111030969,49.8018495682026,0.675336559943584,0.746,61.8272453724219,0.910419468914403,1.136,65.6943219057711,0.945541942657279,1.26033333333333,80.7195008867783,0.994272933096846,1.73866666666667,0.0366145485198406,0,0.0182884262841459
"manylabs","Gainloss",36,37.0116064012988,49.8018495682026,0.376232355028195,0.746,61.8272453724219,0.731086004872474,1.136,65.6943219057711,0.811873215522582,1.26033333333333,80.7195008867783,0.96675115525927,1.73866666666667,0.050567477918792,1,-0.66012638792965
"manylabs","Gamblersfallacy",36,51.360735708339,49.8018495682026,0.0366516736470741,0.746,61.8272453724219,0.217942173786925,1.136,65.6943219057711,0.310436936020387,1.26033333333333,80.7195008867783,0.690850187058247,1.73866666666667,0.0408420088000301,1,0.630171729007084
"manylabs","IAT",35,46.8217391155029,48.6023673672949,0.0704692703050025,0.759,60.3331816722035,0.311767428615481,1.152,64.1038265402494,0.415516125979549,1.27633333333333,78.7489416845119,0.775563888506592,1.75666666666667,0.047018554467451,1,0.797905985648374
"manylabs","Imaginedcontact",36,46.4390938336403,49.8018495682026,0.093530964543862,0.746,61.8272453724219,0.369606833654637,1.136,65.6943219057711,0.478783193966638,1.26033333333333,80.7195008867783,0.822960114073071,1.73866666666667,0.0360963376575158,0,0.13726864804912
"manylabs","Mathartgender",35,48.1717108127331,48.6023673672949,0.0544119192212785,0.759,60.3331816722035,0.269280711628709,1.152,64.1038265402494,0.368372076501367,1.27633333333333,78.7489416845119,0.738299557822,1.75666666666667,0.0538591121821529,1,0.583442143962418
"manylabs","Moneypriming",36,28.8015085440125,49.8018495682026,0.760754777670273,0.746,61.8272453724219,0.943306007695931,1.136,65.6943219057711,0.967102799147128,1.26033333333333,80.7195008867783,0.99708054726554,1.73866666666667,0.0360683653482335,0,-0.0174401748359549
"manylabs","Quote Attribution",36,68.4864967330168,49.8018495682026,0.000606685051848022,0.746,61.8272453724219,0.0158381207994274,1.136,65.6943219057711,0.0321459290363502,1.26033333333333,80.7195008867783,0.205776093617115,1.73866666666667,0.0365861372896443,1,0.322211952170414
"manylabs","Reciprocity",36,38.8932174679637,49.8018495682026,0.298682614345908,0.746,61.8272453724219,0.660944192815219,1.136,65.6943219057711,0.753692568304228,1.26033333333333,80.7195008867783,0.949800783937831,1.73866666666667,0.0604577603973593,1,0.373839732731997
"manylabs","Scales",36,33.0797819789252,49.8018495682026,0.561072959598823,0.746,61.8272453724219,0.855232340072148,1.136,65.6943219057711,0.906990781917403,1.26033333333333,80.7195008867783,0.988020896773928,1.73866666666667,0.310365700915413,1,0.752942782657248
"manylabs","Sunkcosts",36,36.0652822371833,49.8018495682026,0.418533783404,0.746,61.8272453724219,0.764167318535564,1.136,65.6943219057711,0.838237925039948,1.26033333333333,80.7195008867783,0.973446653634168,1.73866666666667,0.0363758170253193,1,0.285929513543448
