"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","t1","t2","v1","v2","replicated"
"rpe","Abeler et al.",2,0.889890380663388,3.84145882069418,0.345507015428944,7.849,4.75884383138652,0.403222265571017,9.139,5.04323657468101,0.421355153462424,9.53133333333333,6.08289572202274,0.488749917876318,10.9426666666667,0.36597765571301,0.160514470781026,0.0347389886090856,0.0126995738023032,0
"rpe","Ambrus and Greiner",2,0.643914566115104,3.84145882069418,0.422296820736368,7.849,4.75884383138652,0.477539754796952,9.139,5.04323657468101,0.49477878912496,9.53133333333333,6.08289572202274,0.558336578637277,10.9426666666667,0.652125970874945,0.472672040177118,0.0381488644990482,0.0118635361167562,1
"rpe","Bartling et al.",2,1.73207358252336,3.84145882069418,0.188146298407639,7.849,4.75884383138652,0.24190527492397,9.139,5.04323657468101,0.259184914380834,9.53133333333333,6.08289572202274,0.325162907705988,10.9426666666667,2.07500550373525,1.75703506461451,0.0386309201885189,0.01974142679188,1
"rpe","Charness and Dufwenberg",2,0.0535138961305681,3.84145882069418,0.817057892611034,7.849,4.75884383138652,0.838196497254006,9.139,5.04323657468101,0.844685329908284,9.53133333333333,6.08289572202274,0.868140999305738,10.9426666666667,0.82163362512238,0.77174363314129,0.0290377752418121,0.0174737195258331,1
"rpe","Chen and Chen",2,35.0386911958087,3.84145882069418,3.23218662945379e-09,7.849,4.75884383138652,2.9976672366594e-08,9.139,5.04323657468101,4.60047298034283e-08,9.53133333333333,6.08289572202274,1.67294207931157e-07,10.9426666666667,3.09628107925284,0.34502212047719,0.191365584813227,0.0246649117581951,0
"rpe","de Clippel et al.",2,1.89647436551569,3.84145882069418,0.168473481156616,7.849,4.75884383138652,0.220459719601468,9.139,5.04323657468101,0.237243042148026,9.53133333333333,6.08289572202274,0.301656599195781,10.9426666666667,0.241746889207614,0.560829008703686,0.0258499462321118,0.0278356721097004,1
"rpe","Duffy and Puzzello",2,30.0771701420344,3.84145882069418,4.15190380964603e-08,7.849,4.75884383138652,3.12074671993123e-07,9.139,5.04323657468101,4.63273338469072e-07,9.53133333333333,6.08289572202274,1.52258708518982e-06,10.9426666666667,2.33873832860732,-0.241746889207614,0.178673527730131,0.0427204374572796,0
"rpe","Dulleck et al.",2,0.0319928165017346,3.84145882069418,0.858043423931018,7.849,4.75884383138652,0.87455740871401,9.139,5.04323657468101,0.879623572768296,9.53133333333333,6.08289572202274,0.897923248205545,10.9426666666667,2.07500550373525,2.13622956902325,0.0497344182067758,0.0674289509572382,1
"rpe","Ericson and Fuster",2,0.662575579935466,3.84145882069418,0.415652136637667,7.849,4.75884383138652,0.471190495331158,9.139,5.04323657468101,0.488530653356316,9.53133333333333,6.08289572202274,0.552500612677827,10.9426666666667,0.429579016717209,0.241746889207614,0.0376985417261597,0.0155495845151018,0
"rpe","Fehr et al.",2,0.982012103678496,3.84145882069418,0.32170255454796,7.849,4.75884383138652,0.379710827761691,9.139,5.04323657468101,0.397981813642853,9.53133333333333,6.08289572202274,0.46609373167071,10.9426666666667,1.00780651972054,0.652125970874945,0.0850114234100207,0.0438145374444514,1
"rpe","Friedman and Oprea",2,2.18636737639207,3.84145882069418,0.139237358443883,7.849,4.75884383138652,0.187808130837529,9.139,5.04323657468101,0.203609815335981,9.53133333333333,6.08289572202274,0.264803352289547,10.9426666666667,1.66585346014513,0.979957887012223,0.0879878928659416,0.127187627187627,1
"rpe","Fudenberg et al.",2,0.0693207986654933,3.84145882069418,0.792328274819278,7.849,4.75884383138652,0.816205419415563,9.139,5.04323657468101,0.823538148263426,9.53133333333333,6.08289572202274,0.850058519215293,10.9426666666667,0.628970902033151,0.699166664938992,0.0357366211024748,0.0353451498059993,1
"rpe","Huck et al.",2,34.6285388058795,3.84145882069418,3.99013388996394e-09,7.849,4.75884383138652,3.63885155341137e-08,9.139,5.04323657468101,5.56969466103396e-08,9.53133333333333,6.08289572202274,2.00907947944806e-07,10.9426666666667,2.97617238365259,0.796528209922106,0.108047076111062,0.0291475294918347,0
"rpe","Ifcher and Zarghamee",2,3.40460830395106,3.84145882069418,0.0650145479199551,7.849,4.75884383138652,0.0987966040255397,9.139,5.04323657468101,0.110140183825544,9.53133333333333,6.08289572202274,0.155707266840801,10.9426666666667,0.583333333333333,-0.0200010000750062,0.07614522417154,0.0307723080000308,0
"rpe","Kessler and Roth",2,1.40443663867593,3.84145882069418,0.235982142914703,7.849,4.75884383138652,0.292629459571665,9.139,5.04323657468101,0.310677816850514,9.53133333333333,6.08289572202274,0.378880307927429,10.9426666666667,1.12421105965277,0.723076997100493,0.0183409425318662,0.0962306456114014,1
"rpe","Kirchler et al",2,3.02606153734702,3.84145882069418,0.0819366846883945,7.849,4.75884383138652,0.120129308871072,9.139,5.04323657468101,0.132829945163681,9.53133333333333,6.08289572202274,0.183280964463367,10.9426666666667,1.75703506461451,1.2500034765631,0.0595560690612177,0.025399583065844,1
"rpe","Kogan et al.",2,0.0254807402671505,3.84145882069418,0.873175004670613,7.849,4.75884383138652,0.887958871985337,9.139,5.04323657468101,0.892493439200575,9.53133333333333,6.08289572202274,0.908869293272937,10.9426666666667,0.675520529473199,0.628970902033151,0.035650623885918,0.0493888134337572,1
"rpe","Kuziemko et al.",2,5.07115295908145,3.84145882069418,0.024327197874676,7.849,4.75884383138652,0.0428559364580121,9.139,5.04323657468101,0.0493418381088578,9.53133333333333,6.08289572202274,0.0766589196396278,10.9426666666667,0.583333333333333,-0.241746889207614,0.105860433604336,0.028380710198892,0
