"paper","experiment","tau2","ci.lb","ci.ub","I2","H2"
"alogna","RR1",0.000835852323882123,0,0.00718875384203791,9.92168498270853,1.11014509963695
"alogna","RR2",0,0,0.0041349016149548,0,1
