"experiment","tau2","ci.lb","ci.ub","paper"
"Exit",0,0,0.0458606918661729,"cheung"
"Neglect",0.00511212705440824,0,0.0645922499074971,"cheung"
"Voice",0,0,0.0279655103919519,"cheung"
"Loyalty",0,0,0.012139560248681,"cheung"
