"experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated","paper"
"Imagery",2,7.19655427393163,3.84145882069418,0.00730436978361193,7.849,4.75884383138652,0.0152608832591534,9.139,5.04323657468101,0.0181901541478101,9.53133333333333,6.08289572202274,0.0312440759098542,10.9426666666667,0,"eerland"
"Intention_attribution",2,4.83952154643656,3.84145882069418,0.0278146111157522,7.849,4.75884383138652,0.0480437979653232,9.139,5.04323657468101,0.0550849032808447,9.53133333333333,6.08289572202274,0.0845509700982988,10.9426666666667,0,"eerland"
"Intentionality",2,9.59532152021904,3.84145882069418,0.00195073763569231,7.849,4.75884383138652,0.00485402118415779,9.139,5.04323657468101,0.005981986742572,9.53133333333333,6.08289572202274,0.0113155949992185,10.9426666666667,0,"eerland"
