"experiment","tau2","ci.lb","ci.ub","paper"
"Allowedforbidden",0,0,0.103607268605088,"manylabs"
"Anchoring1",0.0259990249930097,0.0053192531293202,0.101189921255829,"manylabs"
"Anchoring2",0.146524648233658,0.0689154109306734,0.293181583124603,"manylabs"
"Anchoring3",0.370582429466549,0.303518987648389,0.93669857915137,"manylabs"
"Anchoring4",0.0771878357633597,0.0429118326383546,0.248042659348651,"manylabs"
"Flagpriming",0,0,0.0146501176193502,"manylabs"
"Gainloss",0.00635644460763176,0,0.13834154463681,"manylabs"
"Gamblersfallacy",0.0128427076426508,0,0.0632266581768125,"manylabs"
"IAT",0.00286132004876475,0,0.0121837920721399,"manylabs"
"Imaginedcontact",0.00796430206844661,0,0.0418014028241646,"manylabs"
"Mathartgender",0.0135069108045922,0,0.0685018763643324,"manylabs"
"Moneypriming",0,0,0.0127114836950802,"manylabs"
"Quote Attribution",0.0236613209594219,0.00862013555890588,0.0810139422459292,"manylabs"
"Reciprocity",0.00444687716174718,0,0.0361784182866771,"manylabs"
"Scales",0.00478385905397682,0.00189609879635209,0.00899154955974256,"manylabs"
"Sunkcosts",0.000748726080543586,0,0.0216793660390124,"manylabs"
