"experiment","tau2","ci.lb","ci.ub","paper"
"Exit",0.00989490600482286,0,0.075826444922912,"cheung"
"Neglect",0.0107716765803146,0,0.0748972163869047,"cheung"
"Voice",0,0,0.0339003166271245,"cheung"
"Loyalty",0,0,0.0123982095810286,"cheung"
