"experiment","tau2","ci.lb","ci.ub","paper"
"Imagery",0,0,0.0538767407155704,"eerland"
"Intention_attribution",0,0,0.0880655849594306,"eerland"
"Intentionality",0.0287787328705052,0,0.195780918645896,"eerland"
