"authors","rd","vrd","logor","vlogor"
"ORIGINAL STUDY - Schooler & Engstler-Schooler (1990), Study 4",-0.224039829302987,0.0121644178033569,-0.952008814476234,0.236133262449052
"ONLINE STUDY (MTURK) - Robert B. Michael, Gregory Franco, Mevagh Sanson, Maryanne Garry",0.0597722960151803,0.00255717557387011,0.239727679329745,0.0413134634244474
"Victoria K. Alogna, Jamin Halberstadt, Jonathan Jong, Joshua C. Jackson, Cathy Ng",-0.130325814536341,0.00804502289070457,-0.567984037605939,0.156740196078431
"Stacy Birch",0.000714285714285667,0.00849105211370262,0.0031847160675197,0.16878516568919
"Angela R. Birt, Philip Aucoin",-0.0266666666666667,0.00896529847494553,-0.117783035656384,0.175040849673203
"Maria A. Brandimonte",0.1,0.0069533527696793,0.408204835849285,0.117482393474186
"Curt Carlson, Dawn Weatherford, Maria Carlson",-0.133333333333333,0.00654696296296296,-0.536626269710724,0.108618368066042
"Kimberly S. Dellapaolera, Brian H. Bornstein",-0.147581792318634,0.00648941246442326,-0.59759066499874,0.109666653316779
"Jean-Francois Delvenne, Charity Brown, Emma Portch, Tara Zaksaite",0.0222283967768825,0.00740122598895343,0.100083458556983,0.150250626566416
"Gerald Echterhoff, René Kopietz",-0.155885471898197,0.0110831615778561,-0.637057713908902,0.192249417249417
"Casey M. Eggleston,  Calvin K. Lai, Elizabeth A. Gilbert,",-0.0713902308105206,0.00664749559298723,-0.287056877057863,0.108364602876798
"Daniel L. Greenberg, Marino Mugayar-Baldocchi",-0.0800000000000001,0.00992,-0.321204764490425,0.161297036297036
"Andre Kehn, Kimberly Schweitzer, Bradlee W. Gamblin, Kimberly Wiseman, Narina L. Nunez",-0.049719887955182,0.00755621780119382,-0.200955636338847,0.123760147898079
"Christopher Koch, Remi Gentry, Jennifer Shaheed, Kelsi Buswell",0.0833333333333333,0.0103443287037037,0.334108169326332,0.167832167832168
"Nicola Mammarella, Beth Fairfield, Alberto Di Domenico",-0.118181818181818,0.00446356123215627,-0.476924072090309,0.0740789861479517
"Shannon McCoy, Arielle Rancourt",-0.154415653093601,0.00793650675225074,-0.62267392390256,0.133272283272283
"Abigail A. Mitchell, Marilyn S. Petro",0.0385831752055661,0.00889457112135052,0.154935301287676,0.143587588881707
"Robin Musselman, Michael Colarusso",-0.164705882352941,0.00832805482054413,-0.773189888233482,0.192307692307692
"Christopher R. Poirier, Matthew K. Attaya, Kathleen A. McConnaughy, Jessica E. Pappagianopoulos, Griffin A. Sullivan",-0.127272727272727,0.00894365138993238,-0.511866748274401,0.147849462365591
"Eva Rubínová, Marek Vranka, Štěpán Bahník",0.0694117647058823,0.00863174923671891,0.278125685731563,0.13954307568438
"Kyle J. Susa, Jessica K. Swanner, Christian A. Meissner",0,0.00884748309541698,0,0.14945652173913
"W. Burt Thompson",0.14,0.0098,0.563935449079939,0.163270637408568
"Joanna Ulatowska, Aleksandra Cislak",0.0363636363636364,0.00748910593538693,0.176456437341557,0.176805985552116
"Kimberley A. Wade, Ulrike Körner, Melissa, F. Colloff,  Melina A. Kunar",-0.0833333333333334,0.00788425925925926,-0.350775221811544,0.141133376427494
"Simon Chu, John E. Marsh, Faye Skelton",-0.0874509803921568,0.00955145583523682,-0.360954273558106,0.164396876853971
"John E. Edlund, Austin Lee Nichols",0.122790099646416,0.00886399080757166,0.493961817713986,0.146225513616818
"Fiona Gabbert, Tim Valentine",0.0332761578044597,0.00887247295097405,0.138893335765908,0.154743422295604
"Fabio P. Leite",-0.175384615384615,0.00947966135639508,-0.711165686062624,0.162418831168831
"Alex H. McIntyre, Stephen R. H. Langton, Peter J. B. Hancock",-0.0139517345399698,0.00785212758686181,-0.0689928714869512,0.192149292149292
"Robert B. Michael,  Gregory Franco, Mevagh Sanson, Maryanne Garry",0.00199390100867936,0.00534039672966954,0.00810106884533231,0.0881615848742969
"Matthew A. Palmer, Aaron Drummond, James D. Sauer, Daniel V. Zuj, Lauren Hall, Liam Satchell, Glenys Holt, Miriam Rainsford",-0.0168067226890757,0.0091224824086827,-0.0689928714869516,0.153869047619048
"Verkoeijen, P. P. J. L., Bouwmeester, S., Zwaan, R. A.",-0.0457516339869282,0.00947254984792081,-0.183922838160929,0.153461538461538
"Christopher A. Was, Dale Hirsch. Rachel Todaro, Connie Romig",-0.0215100965759438,0.00733614798411015,-0.0868570440932667,0.119684965100924
