"d","vd","ntrt","nctrl","t","es","site","experiment","replicated"
0.107184561971831,0.0374662721337327,55,52,0.554144931359199,"d","Aykutoglu","Exit",0
-0.40789174356633,0.0385744522363824,51,55,-2.09825571513708,"d","Bredow","Exit",0
0.204592383337446,0.0347556834052849,55,61,1.10028889363745,"d","Caprariello","Exit",0
0.0377345317897828,0.0416740827858823,48,48,0.184860697135598,"d","Carcedo","Exit",0
-0.262424968831252,0.0396894345198228,48,54,-1.32288644666186,"d","Carson","Exit",0
-0.188929138278133,0.0335069659354678,53,69,-1.03438331967007,"d","Cheung","Exit",0
0.136232746270785,0.0272752707292634,74,73,0.82584802413111,"d","Cobb","Exit",0
-0.102126555621602,0.0396594759756862,51,50,-0.51315443679254,"d","Collins","Exit",0
-0.0703016009632365,0.0553368817763042,40,33,-0.298944626048339,"d","DiDonato","Exit",0
-0.14156663895453,0.0573472992470369,29,44,-0.591867956928078,"d","Fuglestad","Exit",0
0.142283293155932,0.0264853550192919,67,87,0.875367816923187,"d","Hoplock","Exit",0
-0.241912542622851,0.0366416690041989,54,56,-1.26839037263568,"d","Sinclair","Exit",0
-0.0302146273085484,0.0396123625615291,50,51,-0.151819181260385,"d","Sucharyna","Exit",0
0.263151300222139,0.0613541037451985,31,35,1.06696069612747,"d","Tidwell","Exit",0
-0.117005863363969,0.0368638348521731,49,61,-0.609921918191669,"d","Vranka","Exit",0
-0.199110165303779,0.0379362917961146,52,54,-1.02479984727738,"d","Yong","Exit",0
-0.599129236525334,0.0469604260789856,44.5,44.5,-2.82608695652174,"d","original","Exit",0
0.118982112909921,0.0374787404181599,55,52,0.615138351815707,"d","Aykutoglu","Neglect",0
-0.276304153618869,0.0381497744573138,51,55,-1.42134960707442,"d","Bredow","Neglect",0
0.0208113934915815,0.0348503679532634,55,60,0.111483144637586,"d","Caprariello","Neglect",0
-0.170020848159755,0.04181722442088,48,48,-0.83292864725323,"d","Carcedo","Neglect",0
-0.31877303966883,0.039849970728419,48,54,-1.606937539584,"d","Carson","Neglect",0
-0.241825553517684,0.0336003486364662,53,69,-1.32399015370741,"d","Cheung","Neglect",0
0.333687222760012,0.0275908754961913,74,73,2.02282447603606,"d","Cobb","Neglect",0
-0.242173033112843,0.0398981786717454,51,50,-1.21684478299468,"d","Collins","Neglect",0
0.13823177439165,0.0554339071759855,40,33,0.587805192731243,"d","DiDonato","Neglect",0
-0.350842390737915,0.0580531161639809,29,44,-1.46681711555297,"d","Fuglestad","Neglect",0
0.0192611093993012,0.0264208305219672,67,87,0.118499894909707,"d","Hoplock","Neglect",0
-0.0848426092435119,0.0364083807772216,54,56,-0.444844850072673,"d","Sinclair","Neglect",0
0.186150703515692,0.0397793881096281,50,51,0.935349859198867,"d","Sucharyna","Neglect",0
0.158791061610474,0.0610205127939772,31,35,0.643826655964503,"d","Tidwell","Neglect",0
-0.207461951960295,0.0369972443496714,49,61,-1.08144658783293,"d","Vranka","Neglect",0
0.0289097667095331,0.0377532300823594,52,54,0.148795640160076,"d","Yong","Neglect",0
-0.447436291057961,0.0460685350255938,44.5,44.5,-2.1105527638191,"d","original","Neglect",0
0.0946201366473043,0.0374544237222096,55,52,0.489186764987652,"d","Aykutoglu","Voice",1
-0.195861749920501,0.0379706133241765,51,55,-1.00754193393133,"d","Bredow","Voice",1
-0.238610740326858,0.0348206706556282,55,61,-1.28323813038155,"d","Caprariello","Voice",1
0.0628788541323708,0.0416872591161302,48,48,0.308042216470404,"d","Carcedo","Voice",1
0.052923931697125,0.0393655819623728,48,54,0.266789979086194,"d","Carson","Voice",1
0.0601233172074201,0.0330259665046013,54,69,0.330911456871954,"d","Cheung","Voice",1
0.0585113222221362,0.0272237884628406,74,73,0.354697832710523,"d","Cobb","Voice",1
0.382123574697245,0.0403307066339846,51,50,1.9200530808604,"d","Collins","Voice",1
-0.0799146275787986,0.0553467724105718,40,33,-0.339822253405429,"d","DiDonato","Voice",1
0.0933179892360109,0.0572696768761477,29,44,0.39014790519604,"d","Fuglestad","Voice",1
-0.162757758689376,0.0265056327871565,67,87,-1.00133262838589,"d","Hoplock","Voice",1
0.14320715765317,0.0364688808756755,54,56,0.750860530381789,"d","Sinclair","Voice",1
0.136429918331529,0.039699987308621,50,51,0.68551825210347,"d","Sucharyna","Voice",1
-0.0165241736164672,0.0619068622764058,30,35,-0.0664137068096071,"d","Tidwell","Voice",1
-0.145061591056984,0.0368972552755296,49,61,-0.756169317756229,"d","Vranka","Voice",1
0.240466731546625,0.0380220436407062,52,54,1.2376579035445,"d","Yong","Voice",1
0.341336384181257,0.0455983737481232,44.5,44.5,1.6100805040252,"d","original","Voice",1
-0.122634393799274,0.0374828640225992,55,52,-0.634020669432182,"d","Aykutoglu","Loyalty",1
-0.230270054911015,0.0380397759331708,51,55,-1.18454336564279,"d","Bredow","Loyalty",1
0.063052194668837,0.0345923969222369,55,61,0.339091946542126,"d","Caprariello","Loyalty",1
0.0601137238209276,0.0416854878114147,48,48,0.294495899799726,"d","Carcedo","Loyalty",1
0.172474599980496,0.0398485226519245,48,53,0.865611490792373,"d","Carson","Loyalty",1
0.0973575453669979,0.0333995244287029,53,69,0.533030647836816,"d","Cheung","Loyalty",1
-0.0139370716090768,0.0272128043374557,74,73,-0.0844870515026692,"d","Cobb","Loyalty",1
0.0990810692383073,0.0396564424356777,51,50,0.497851807224094,"d","Collins","Loyalty",1
-0.0633005102937627,0.0553304751975745,40,33,-0.269173775833835,"d","DiDonato","Loyalty",1
