"experiment","site","nv","cv","fidv","npv","nc","cc","fidc","npc","log_or","vlog_or","rd","vrd","es","replicated","n","d","vd"
"RR1","original",37,18,NA,NA,38,27,NA,NA,-0.952008814476234,0.236133262449052,-0.224039829302987,0.0121644178033569,"rd",1,75,-0.524869968116992,0.0717759049459942
"RR1","mturk",204,112,36,56,186,91,59,36,0.239727679329745,0.0413134634244474,0.0597722960151803,0.00255717557387011,"rd",1,390,0.132168796646898,0.0125577870435883
"RR1","victoria k. alogna",56,32,6,18,57,40,10,7,-0.567984037605939,0.156740196078431,-0.130325814536341,0.00804502289070457,"rd",1,113,-0.313146012070492,0.0476433065729963
"RR1","stacy birch",56,37,7,12,50,33,13,4,0.0031847160675197,0.16878516568919,0.000714285714285667,0.00849105211370262,"rd",1,106,0.00175582599173767,0.0513045383066906
"RR1","angela r. birt",51,17,14,20,50,18,19,13,-0.117783035656384,0.175040849673203,-0.0266666666666667,0.00896529847494553,"rd",1,101,-0.0649371909478595,0.0532060382239482
"RR1","maria a. brandimonte",70,34,18,18,70,27,32,11,0.408204835849285,0.117482393474186,0.1,0.0069533527696793,"rd",1,140,0.22505512125462,0.035710365491818
"RR1","curt carlson",75,32,22,21,75,42,19,14,-0.536626269710724,0.108618368066042,-0.133333333333333,0.00654696296296296,"rd",1,150,-0.29585756853393,0.0330160248532516
"RR1","kimberly s. dellapaolera",74,29,23,22,76,41,20,15,-0.59759066499874,0.109666653316779,-0.147581792318634,0.00648941246442326,"rd",1,150,-0.32946900124813,0.03333466536045
"RR1","jean-francois delvenne",59,40,9,10,61,40,13,8,0.100083458556983,0.150250626566416,0.0222283967768825,0.00740122598895343,"rd",1,120,0.0551789026562139,0.0456707139801365
"RR1","gerald echterhoff",41,15,9,17,46,24,15,7,-0.637057713908902,0.192249417249417,-0.155885471898197,0.0110831615778561,"rd",1,87,-0.351228325729327,0.0584368155307819
"RR1","casey m. eggleston",81,40,15,26,69,39,14,16,-0.287056877057863,0.108364602876798,-0.0713902308105206,0.00664749559298723,"rd",1,150,-0.158262750951541,0.0329388894852272
"RR1","daniel l. greenberg",50,24,11,15,50,28,12,10,-0.321204764490425,0.161297036297036,-0.0800000000000001,0.00992,"rd",1,100,-0.177089468010723,0.0490284199068505
"RR1","andre kehn",63,33,12,18,68,39,15,14,-0.200955636338847,0.123760147898079,-0.049719887955182,0.00755621780119382,"rd",1,131,-0.11079264901148,0.0376185740183524
"RR1","christopher koch",48,26,8,14,48,22,16,12,0.334108169326332,0.167832167832168,0.0833333333333333,0.0103443287037037,"rd",1,96,0.184203487946084,0.0510148616940442
"RR1","nicola mammarella",110,45,31,34,110,58,35,17,-0.476924072090309,0.0740789861479517,-0.118181818181818,0.00446356123215627,"rd",1,220,-0.262942021865613,0.0225173116786044
"RR1","shannon k. mccoy",62,26,19,17,61,35,15,11,-0.62267392390256,0.133272283272283,-0.154415653093601,0.00793650675225074,"rd",1,123,-0.343298126673151,0.040509916463594
"RR1","abigail a. mitchell",62,34,11,17,51,26,9,16,0.154935301287676,0.143587588881707,0.0385831752055661,0.00889457112135052,"rd",1,113,0.085420308520777,0.0436453933855317
"RR1","robin musselman",51,12,21,18,50,20,17,13,-0.773189888233482,0.192307692307692,-0.164705882352941,0.00832805482054413,"rd",1,101,-0.426281927031064,0.0584545290244256
"RR1","christopher r. poirier",55,24,12,19,55,31,12,12,-0.511866748274401,0.147849462365591,-0.127272727272727,0.00894365138993238,"rd",1,110,-0.28220692892927,0.044940847583295
"RR1","eva rubínová",68,36,17,15,50,23,18,9,0.278125685731563,0.13954307568438,0.0694117647058823,0.00863174923671891,"rd",1,118,0.153338727102811,0.0424160087923011
"RR1","kyle j. susa",55,23,11,21,55,23,18,14,0,0.14945652173913,0,0.00884748309541698,"rd",1,110,0,0.0454293350570264
"RR1","w. burt thompson",50,28,11,11,50,21,18,11,0.563935449079939,0.163270637408568,0.14,0.0098,"rd",1,100,0.310913908230435,0.0496283227088253
"RR1","joanna ulatowska",55,40,4,11,55,38,7,10,0.176456437341557,0.176805985552116,0.0363636363636364,0.00748910593538693,"rd",1,110,0.0972855326895851,0.0537425751935713
"RR1","kimberley a. wade",60,34,15,11,60,39,4,17,-0.350775221811544,0.141133376427494,-0.0833333333333334,0.00788425925925926,"rd",1,120,-0.193392515582693,0.0428994022532199
"RR1","simon chu",50,27,7,16,51,32,6,13,-0.360954273558106,0.164396876853971,-0.0874509803921568,0.00955145583523682,"rd",1,101,-0.199004520938566,0.0499706584498439
"RR1","john e. edlund",51,28,15,8,61,26,23,12,0.493961817713986,0.146225513616818,0.122790099646416,0.00886399080757166,"rd",1,112,0.272335423340792,0.0444472263550943
"RR1","fiona gabbert",55,34,6,15,53,31,7,15,0.138893335765908,0.154743422295604,0.0332761578044597,0.00887247295097405,"rd",1,108,0.0765759093892662,0.0470363601235703
"RR1","fabio p. leite",52,20,21,11,50,28,17,5,-0.711165686062624,0.162418831168831,-0.175384615384615,0.00947966135639508,"rd",1,102,-0.392086192158787,0.049369404659493
"RR1","alex h. mcintyre",52,37,7,8,51,37,10,4,-0.0689928714869512,0.192149292149292,-0.0139517345399698,0.00785212758686181,"rd",1,103,-0.0380377636288785,0.0584063811498109
"RR1","robert b. michael",87,49,20,18,98,55,30,13,0.00810106884533231,0.0881615848742969,0.00199390100867936,0.00534039672966954,"rd",1,185,0.00446635333823296,0.0267979083937445
