"site","n","m","d","sed","g","seg","experiment","es","replicated","vd","vg"
"Lange, Heise & Hoemann",60,60,0.0175,0.182577682,0.0174,0.181414767,"RT","d","1",0.0333346099644931,0.0329113176856643
"Muller, Zerhouni & Batailler",54,55,-0.326714678,0.192847041,-0.324419259,0.191492143,"RT","d","1",0.0371899812224557,0.0366692408307325
"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe",48,50,-0.213902866,0.202649388,-0.212227387,0.201062056,"RT","d","1",0.0410667744567745,0.0404259503629471
"Rentzsch, Nalis & Schütz",62,58,0.0543,0.182709326,0.054,0.181545572,"RT","d","1",0.0333826978073743,0.0329587947128072
"Schlinkert, Schrama & Koole",53,52,0.268108779,0.196063741,0.266151781,0.194632619,"RT","d","1",0.0384409905349151,0.0378818563787992
"Stamos, Bruyneel & DeWitte",59,56,-0.0396,0.186582718,-0.0393,0.185341591,"RT","d","1",0.0348131106562675,0.0343515053544113
"Ullrich & Primoceri",57,57,0.261648536,0.188116938,0.259892506,0.186854408,"RT","d","1",0.0353879823624959,0.0349145697890305
"Wolff, Muzi & Brand",53,55,-0.0895,0.192579433,-0.0889,0.191213622,"RT","d","1",0.0370868380146015,0.0365626492383589
"Yusainy, Wimbarti, Nurwanti & Anggono",99,99,0.201038903,0.142492394,0.200268639,0.141946446,"RT","d","1",0.0203040823478512,0.0201487935320309
"original",23,24,0.29,0.293325089938273,0.285139664804469,0.288460577614868,"RT","d","1",0.0860396083872957,0.0832095048379032
