"experiment","site","t","v","es","nt","nc","replicated","n"
"Anchoring2","csun",2.50050995467764,0.0828636629851277,"d",43,43,1,86
"Anchoring2","help",2.78840378254813,0.096658978850034,"d",37,45,1,82
"Anchoring2","ithaca",2.87255767707031,0.102366073344248,"d",35,45,1,80
"Anchoring2","jmu",2.14439476721532,0.0409215251998127,"d",75,79,1,154
"Anchoring2","ku",2.00540165541562,0.0815849795676643,"d",40,34,1,74
"Anchoring2","laurier",1.57783511188843,0.053535188641027,"d",50,48,1,98
"Anchoring2","lse",1.94487189487932,0.0271796431648046,"d",134,89,1,223
"Anchoring2","luc",1.69760515833555,0.0445978003016699,"d",61,61,1,122
"Anchoring2","mcdaniel",1.79096751185891,0.0669558944616651,"d",39,45,1,84
"Anchoring2","msvu",1.86201982536629,0.0776389260371645,"d",35,39,1,74
"Anchoring2","mturk",1.67524917044865,0.00619658174140982,"d",439,433,1,872
"Anchoring2","original",0.93,0.0313487777769949,"d",103,53,1,156
"Anchoring2","osu",2.47935268029367,0.0757381106641197,"d",42,52,1,94
"Anchoring2","oxy",1.48083679350428,0.0470082241432722,"d",59,50,1,109
"Anchoring2","pi",1.35630669711847,0.0044384889801618,"d",596,517,1,1113
"Anchoring2","psu",2.28857522774394,0.0780314961813,"d",40,45,1,85
"Anchoring2","qccuny",2.00668465352258,0.0729485400431815,"d",49,35,1,84
"Anchoring2","qccuny2",2.13720486754132,0.0928707139390555,"d",31,37,1,68
"Anchoring2","sdsu",2.04978970307907,0.0406721260894966,"d",75,75,1,150
"Anchoring2","swps",3.14702858729983,0.147851721699079,"d",38,24,1,62
"Anchoring2","swpson",1.82629104009344,0.0453783292187523,"d",70,56,1,126
"Anchoring2","tamu",2.14624932492341,0.0393678135960704,"d",73,88,1,161
"Anchoring2","tamuc",2.47378945926319,0.0980959159370781,"d",37,35,1,72
"Anchoring2","tamuon",1.61531472326108,0.0268240477322989,"d",103,95,1,198
"Anchoring2","tilburg",1.48396865626028,0.118680139268511,"d",22,21,1,43
"Anchoring2","ufl",2.6044469727012,0.0631244201179304,"d",52,66,1,118
"Anchoring2","unipd",1.38183638969739,0.0644261946107408,"d",37,40,1,77
"Anchoring2","uva",2.12065964441861,0.084093869628992,"d",42,33,1,75
"Anchoring2","vcu",2.0153103447827,0.0603073789289408,"d",50,50,1,100
"Anchoring2","wisc",1.97981666402719,0.0685866646052737,"d",38,50,1,88
"Anchoring2","wku",2.59015638159262,0.0861544139762324,"d",38,48,1,86
"Anchoring2","wl",1.36607506678698,0.0688495135865915,"d",42,31,1,73
"Anchoring2","wpi",1.69510770427108,0.0710393298425054,"d",35,42,1,77
"Anchoring3","abington",2.52673378462649,0.0986158729654751,"d",38,35,1,73
"Anchoring3","brasilia",2.50541965807103,0.0952741652473303,"d",32,44,1,76
"Anchoring3","charles",0.785976446937861,0.0519772535627719,"d",40,43,1,83
"Anchoring3","conncoll",2.07836917568914,0.0740156372387006,"d",47,37,1,84
"Anchoring3","csun",2.06375256588912,0.0756311989654145,"d",59,29,1,88
"Anchoring3","help",2.62196078196887,0.115142677492181,"d",29,36,1,65
"Anchoring3","ithaca",3.62172878780997,0.127273400775485,"d",43,40,1,83
"Anchoring3","jmu",2.57676797855132,0.0458950147631956,"d",70,91,1,161
"Anchoring3","ku",1.77000724173186,0.0743049743240248,"d",39,36,1,75
"Anchoring3","laurier",2.963991274013,0.0995382678452145,"d",37,48,1,85
"Anchoring3","lse",2.731875767399,0.0297450150645548,"d",133,127,1,260
"Anchoring3","luc",2.5344615804376,0.0530339190469074,"d",67,69,1,136
"Anchoring3","mcdaniel",2.24429741849233,0.0744519180074888,"d",48,40,1,88
"Anchoring3","msvu",4.54468096376515,0.298569998259535,"d",18,31,1,49
"Anchoring3","mturk",2.33279901148437,0.00714895791646545,"d",452,489,1,941
"Anchoring3","original",0.93,0.0313487777769949,"d",103,53,1,156
"Anchoring3","osu",2.55265174885667,0.0780481506468884,"d",47,46,1,93
"Anchoring3","oxy",2.11643256509831,0.0592825012214484,"d",62,45,1,107
"Anchoring3","pi",1.96700876826274,0.00492962480560678,"d",610,594,1,1204
"Anchoring3","psu",3.60170058616331,0.120536231004722,"d",43,44,1,87
"Anchoring3","qccuny",3.24864305362243,0.0997559503184379,"d",46,47,1,93
"Anchoring3","qccuny2",2.69554462179337,0.0991383788035356,"d",38,39,1,77
"Anchoring3","sdsu",2.86523155696998,0.054424733671394,"d",77,72,1,149
"Anchoring3","swps",1.94676273939629,0.118424862625016,"d",18,36,1,54
"Anchoring3","swpson",0.660289577209023,0.0306628916294672,"d",65,73,1,138
"Anchoring3","tamu",2.42718182086675,0.0398942913037342,"d",100,76,1,176
"Anchoring3","tamuc",3.1722385804199,0.114724082940788,"d",36,43,1,79
"Anchoring3","tamuon",1.75911572170813,0.0273268035946342,"d",101,102,1,203
"Anchoring3","tilburg",1.73559635975658,0.102828360622023,"d",17,48,1,65
"Anchoring3","ufl",2.65017460698614,0.0631260101649813,"d",59,60,1,119
"Anchoring3","unipd",1.02815756232518,0.0447781751201924,"d",46,56,1,102
"Anchoring3","uva",2.33305840604489,0.0887719456713462,"d",35,41,1,76
"Anchoring3","vcu",3.84944982478558,0.11410732617027,"d",49,51,1,100
"Anchoring3","wisc",2.73603329063727,0.0851350671943459,"d",44,47,1,91
"Anchoring3","wku",2.82533747769468,0.0819729946277613,"d",44,54,1,98
"Anchoring3","wl",2.53661336487742,0.0840218112576539,"d",41,45,1,86
"Anchoring3","wpi",2.29879937174355,0.0816541361129265,"d",34,49,1,83
"Anchoring4","abington",2.00176609169714,0.0845841536094934,"d",48,27,1,75
"Anchoring4","brasilia",2.00008510890905,0.0769589974408619,"d",38,40,1,78
"Anchoring4","charles",2.14726452378449,0.0872206886634215,"d",41,32,1,73
"Anchoring4","conncoll",2.71880450476222,0.0929789843076594,"d",49,35,1,84
"Anchoring4","csun",2.06799592281517,0.0731020527177141,"d",43,41,1,84
"Anchoring4","help",2.74704864047336,0.0916120824170844,"d",40,45,1,85
"Anchoring4","ithaca",3.18272264286244,0.104199887953113,"d",44,43,1,87
"Anchoring4","jmu",2.29573025702285,0.0420111015342011,"d",81,77,1,158
"Anchoring4","ku",2.28679259705992,0.0729507660966323,"d",42,49,1,91
"Anchoring4","laurier",2.41846295871263,0.0700475825646676,"d",52,47,1,99
"Anchoring4","lse",2.41997603874337,0.0280515472792731,"d",122,125,1,247
"Anchoring4","luc",2.61354475149943,0.0585376716318569,"d",79,51,1,130
"Anchoring4","mcdaniel",2.50610038001584,0.0859952725082273,"d",36,48,1,84
"Anchoring4","msvu",2.40283967411822,0.08677610746054,"d",48,33,1,81
"Anchoring4","mturk",2.3334620246952,0.00723894059154766,"d",476,453,1,929
"Anchoring4","original",0.93,0.0313487777769949,"d",103,53,1,156
"Anchoring4","osu",2.42923870658733,0.0747426116288294,"d",46,47,1,93
"Anchoring4","oxy",2.30163703382063,0.0599017224599278,"d",56,55,1,111
"Anchoring4","pi",2.19368241153635,0.00547138198552319,"d",647,531,1,1178
"Anchoring4","psu",3.5159655417869,0.121310687554849,"d",44,40,1,84
"Anchoring4","qccuny",3.02060863769769,0.0942214359798652,"d",48,43,1,91
"Anchoring4","qccuny2",2.4915682034863,0.100258984894042,"d",47,27,1,74
"Anchoring4","sdsu",2.84697767180018,0.0576915421073802,"d",87,56,1,143
"Anchoring4","swps",2.98431929934185,0.128132686527278,"d",34,32,1,66
"Anchoring4","swpson",2.30223017222972,0.0482137344009474,"d",67,71,1,138
"Anchoring4","tamu",2.46622396787895,0.0436956437453051,"d",93,70,1,163
"Anchoring4","tamuc",2.68759279831486,0.101513533295897,"d",30,47,1,77
"Anchoring4","tamuon",2.43581311279437,0.0333861429250795,"d",110,99,1,209
"Anchoring4","tilburg",2.50048104101809,0.114100782675257,"d",23,43,1,66
"Anchoring4","ufl",3.88450871891126,0.102234963040084,"d",54,59,1,113
"Anchoring4","unipd",2.17816070522113,0.0630727985147309,"d",41,63,1,104
"Anchoring4","uva",3.10569240012253,0.118414722673746,"d",33,42,1,75
"Anchoring4","vcu",2.94562784646504,0.0864997108734001,"d",54,43,1,97
"Anchoring4","wisc",3.20780229141894,0.104132723401851,"d",41,47,1,88
