"paper","nstudies","nonreplication","nonrep0","nonrep25","nonrep33","nonrep67","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"rrr",13,8,5,5,3,3,0.719809853470282,0.776711904476026,0.793208668914805,0.849908568906622
"manylabs",15,3,7,6,6,6,0.572238655905844,0.617474981900591,0.63058967637682,0.675665295173767
"ppir",11,2,3,2,2,1,0.596937825868621,0.644126658379145,0.657807413998807,0.704828602809861
"rpe",18,7,4,4,4,3,0.889279415868817,0.959578290545467,0.979958996607097,1.05000812652864
"rpp",73,46,22,17,16,11,1.37400337983119,1.48262041254377,1.51411013164928,1.62234128998819
