"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"alogna","RR1",33,35.0394332979199,46.1942595202791,0.325870769995268,0.787,57.3338934601046,0.672696219702422,1.184,60.9110865471416,0.759912414280247,1.31033333333333,74.793977046776,0.947317441720475,1.79466666666667,0.0443413833310385,1,-0.0765989113298895,0.264184286745171,0.324037645541223,0.34088705644178,0.398943611599694
"alogna","RR2",24,16.9737700558288,35.1724616269086,0.810536724543953,0.962,43.6110260839503,0.941798397508711,1.387,46.3058187885909,0.961990879299829,1.52133333333333,56.7164169791856,0.993914838399258,2.03366666666667,0.0582402353523347,1,-0.356092930675373,0.334744996703299,0.401943295587047,0.420957982185123,0.486705712509859
"cheung","Exit",17,20.0779688742785,26.2962276048646,0.216729475644518,1.204,32.5676238373899,0.450643984564822,1.667,34.5568700425596,0.525581639737285,1.81233333333333,42.1982948877082,0.76585703149254,2.36266666666667,0.0406552859883738,0,-0.0759945708912385,0.312886446910064,0.368163989935515,0.383877402233915,0.438303294599827
"cheung","Neglect",17,20.4376015057771,26.2962276048646,0.201154547161588,1.204,32.5676238373899,0.430435400756571,1.667,34.5568700425596,0.505395997274425,1.81233333333333,42.1982948877082,0.750546150188381,2.36266666666667,0.0406570956342838,0,-0.0663608980854692,0.312893410424949,0.368172183692226,0.383885945704016,0.438313049357651
"cheung","Voice",17,13.1326438368687,26.2962276048646,0.663035645082315,1.204,32.5676238373899,0.844357961978808,1.667,34.5568700425596,0.882324204138321,1.81233333333333,42.1982948877082,0.964796917689523,2.36266666666667,0.040564382092993,1,0.0405011643056522,0.312536449202212,0.367752158250687,0.383447993379026,0.43781300443236
"cheung","Loyalty",17,9.07988296558909,26.2962276048646,0.91008736587139,1.204,32.5676238373899,0.969996429983166,1.667,34.5568700425596,0.979474597509289,1.81233333333333,42.1982948877082,0.99575126205641,2.36266666666667,0.0404664990343536,1,0.0180475041396269,0.312159141584422,0.367308191823345,0.382985078255694,0.437284457499157
"eerland","Imagery",13,15.1299407769356,21.0260698174834,0.234407171688308,1.445,26.0163416106582,0.439600830149218,1.944,27.5901180039046,0.504637278632942,2.09933333333333,33.6053872644467,0.721181560277215,2.68466666666667,0.0498552051384259,0,-0.0511621626729152,0.379580746152977,0.440269278485565,0.457520915341077,0.517386910145514
"eerland","Intention_attribution",13,15.2902426827481,21.0260698174834,0.225946384573958,1.445,26.0163416106582,0.429248128119602,1.944,27.5901180039046,0.494264673780019,2.09933333333333,33.6053872644467,0.712660212410478,2.68466666666667,0.0497965184437,0,0.0338690004250254,0.37935727000058,0.440010072281426,0.457251552327179,0.517082301344483
"eerland","Intentionality",13,28.1379391602878,21.0260698174834,0.00528063371046195,1.445,26.0163416106582,0.0295721537971201,1.944,27.5901180039046,0.0440262526984367,2.09933333333333,33.6053872644467,0.138984884260742,2.68466666666667,0.0502479329713798,0,-0.141726911895018,0.381072862176366,0.441999958589053,0.459319410906869,0.519420736430814
"hagger","RTV",24,25.116442397316,35.1724616269086,0.344309597879011,0.962,43.6110260839503,0.641054589244898,1.387,46.3058187885909,0.71932012609305,1.52133333333333,56.7164169791856,0.912497756714905,2.03366666666667,0.0361838873587067,0,0.0142053327968174,0.263851851003838,0.316818723457204,0.331806431427659,0.383629940416082
"hagger","RT",24,23.6734760662278,35.1724616269086,0.422069466947572,0.962,43.6110260839503,0.710231447927363,1.387,46.3058187885909,0.779727429035354,1.52133333333333,56.7164169791856,0.938265877021718,2.03366666666667,0.0356178296533262,1,0.0844760067040991,0.261779877479152,0.314330812136397,0.329200824763832,0.380617374550824
"manylabs","Allowedforbidden",37,39.4054640531025,50.9984601657114,0.320103394128342,0.733,63.3178033961056,0.686344433841512,1.122,67.2811265588938,0.776284744141948,1.24533333333333,82.6857099582531,0.957998451928572,1.72066666666667,0.119068825929095,1,0.636345599361421,0.417797676886855,0.516904677271244,0.544573921318981,0.640121488180689
"manylabs","Anchoring1",37,63.1957380231615,50.9984601657114,0.00337830930914373,0.733,63.3178033961056,0.0509804727696443,1.122,67.2811265588938,0.0904243343349322,1.24533333333333,82.6857099582531,0.378912056165361,1.72066666666667,0.055053183335103,1,1.15268381856428,0.284091476058788,0.351481640208946,0.370296001364624,0.43526584395884
"manylabs","Anchoring2",37,179.461878268208,50.9984601657114,0,0.733,63.3178033961056,9.99200722162641e-16,1.122,67.2811265588938,1.50990331349021e-14,1.24533333333333,82.6857099582531,5.67218494396116e-11,1.72066666666667,0.0690130264323548,1,1.75995964827718,0.318077186779926,0.393529200078221,0.414594313155464,0.487336463129815
"manylabs","Anchoring3",37,367.12861734544,50.9984601657114,0,0.733,63.3178033961056,0,1.122,67.2811265588938,0,1.24533333333333,82.6857099582531,0,1.72066666666667,0.0796084156421328,1,2.15883982946387,0.341622507062059,0.422659774169421,0.445284209495469,0.523411018572524
"manylabs","Anchoring4",37,158.913446732024,50.9984601657114,0,0.733,63.3178033961056,8.22675261247241e-13,1.122,67.2811265588938,8.96571705766291e-12,1.24533333333333,82.6857099582531,1.17144097755428e-08,1.72066666666667,0.0760199193899181,1,2.36491889161901,0.333834093264334,0.413023848114096,0.435132484683867,0.511478135010519
"manylabs","Flagpriming",37,34.384873079436,50.9984601657114,0.545500918051872,0.733,63.3178033961056,0.84966461688194,1.122,67.2811265588938,0.903631480341567,1.24533333333333,82.6857099582531,0.987853095580556,1.72066666666667,0.0373141553166017,0,0.0232154663473614,0.23388576633506,0.289366488264371,0.304855905046765,0.3583440337109
"manylabs","Gainloss",37,50.7723071041605,50.9984601657114,0.0522247165017512,0.733,63.3178033961056,0.271661584709581,1.122,67.2811265588938,0.374034736909192,1.24533333333333,82.6857099582531,0.751901204445375,1.72066666666667,0.0497767292215479,1,-0.682006134974863,0.270134568389144,0.334213973934594,0.352104019073628,0.413882009145627
"manylabs","Gamblersfallacy",37,51.4100713948735,50.9984601657114,0.0461604103541644,0.733,63.3178033961056,0.253273674033832,1.122,67.2811265588938,0.353085600815214,1.24533333333333,82.6857099582531,0.734438592468449,1.72066666666667,0.0416795587225213,1,0.630766309960087,0.247188658896836,0.305824998607599,0.322195418328007,0.378725830582543
"manylabs","IAT",36,47.6015964437232,49.8018495682026,0.0758520249146906,0.746,61.8272453724219,0.329626755556038,1.136,65.6943219057711,0.436415965747832,1.26033333333333,80.7195008867783,0.79475884569924,1.73866666666667,0.0462699590112035,1,0.803023873876281,0.262744702790971,0.324230391656079,0.341513020758467,0.401118524630346
"manylabs","Imaginedcontact",37,49.6120581230921,50.9984601657114,0.0650223940475119,0.733,63.3178033961056,0.307143693589641,1.122,67.2811265588938,0.413525632074477,1.24533333333333,82.6857099582531,0.782354397140151,1.72066666666667,0.039552756596065,0,0.140071548252811,0.240799379504664,0.29792009969381,0.313867380319457,0.368936606613194
"manylabs","Mathartgender",36,51.3111898613182,49.8018495682026,0.0370222074705309,0.746,61.8272453724219,0.219226275530943,1.136,65.6943219057711,0.311958758479704,1.26033333333333,80.7195008867783,0.692322596886196,1.73866666666667,0.0539490633647306,1,0.589761698335703,0.283711125161101,0.350103230440206,0.368764973555467,0.433126859407599
"manylabs","Moneypriming",37,33.4213961686937,50.9984601657114,0.591855203091669,0.733,63.3178033961056,0.874193049047053,1.122,67.2811265588938,0.921110667056449,1.24533333333333,82.6857099582531,0.990829852649952,1.72066666666667,0.038985436555038,0,-0.0138379277573492,0.239066204198096,0.295775792838943,0.311608291470367,0.366281152028608
"manylabs","Reciprocity",37,50.5397959664689,50.9984601657114,0.0546002773028029,0.733,63.3178033961056,0.278564756015229,1.122,67.2811265588938,0.381811865918427,1.24533333333333,82.6857099582531,0.758144618110844,1.72066666666667,0.058901331682814,1,0.316306274036654,0.293852602927055,0.363558232331816,0.383019037966341,0.450221185749617
"manylabs","Scales",37,33.4584665145749,50.9984601657114,0.590074709533609,0.733,63.3178033961056,0.873296057464211,1.122,67.2811265588938,0.920480177638613,1.24533333333333,82.6857099582531,0.990727468995459,1.72066666666667,0.303372841003087,1,0.747200708677835,0.666891734024741,0.825087059170684,0.869252910641289,1.02176664173967
"manylabs","Sunkcosts",37,36.2374920881202,50.9984601657114,0.457571297662908,0.733,63.3178033961056,0.795715228417971,1.122,67.2811265588938,0.863570868814311,1.24533333333333,82.6857099582531,0.979987465726362,1.72066666666667,0.0359035321769564,1,0.284017207461792,0.229422270434712,0.28384419353774,0.299038008969996,0.351505365627562
"ppir","Bad Tipper",17,173.438431817156,26.2962276048646,0,1.204,32.5676238373899,0,1.667,34.5568700425596,0,1.81233333333333,42.1982948877082,0,2.36266666666667,0.0292581385003877,1,0.642187453589328,0.265430965618056,0.312324564772438,0.32565472413443,0.371825842468172
"ppir","Belief-Act Inconsistency",14,83.8585653372231,22.3620324948273,2.06223926824123e-12,1.373,27.6765286821515,7.20216442040567e-10,1.861,29.3553007229033,2.68025834859742e-09,2.01333333333333,35.7811209987026,1.49503635582526e-07,2.58866666666667,0.029744036176162,1,0.360538402434462,0.285792098105845,0.332727069304069,0.346077042004636,0.392421699148653
"ppir","Bigot-Misanthrope",13,54.8792493733414,21.0260698174834,1.90239377695356e-07,1.445,26.0163416106582,8.82922247003037e-06,1.944,27.5901180039046,2.12317374541637e-05,2.09933333333333,33.6053872644467,0.000302767691219619,2.68466666666667,0.0339198710219367,1,1.19421560611325,0.313094917322842,0.363153491699157,0.377383401592383,0.426763510788414
"ppir","Burn in Hell",16,37.3329993664705,24.995790139729,0.00113118301149162,1.254,30.950574244293,0.010869249184107,1.725,32.8370044700247,0.018269195926884,1.87133333333333,40.0756304141344,0.0816625925809763,2.42966666666667,0.0294672384698598,1,0.287551097631367,0.271852596239963,0.318844747049432,0.332093437423659,0.378406044002831
"ppir","Cold-Hearted Prosociality",13,53.7477626002931,21.0260698174834,3.03117159816679e-07,1.445,26.0163416106582,1.29335964372812e-05,1.944,27.5901180039046,3.0533203898675e-05,2.09933333333333,33.6053872644467,0.000410850277192676,2.68466666666667,0.0458195020946721,1,2.02024278840192,0.363893337468004,0.422073718850256,0.4386123757125,0.496004213604743
"ppir","Higher Standards - Charity",12,92.4800617469704,19.6751375726828,5.44009282066327e-15,1.527,24.3380015418782,3.23352455922077e-12,2.039,25.80587591305,1.32449606837781e-11,2.19733333333333,31.4073727810311,1.01268282648448e-09,2.79566666666667,0.0341056964795062,0,0.882862922556214,0.322736420393503,0.372938373251435,0.387147475081443,0.4366878949346
"ppir","Higher Standards - Company",12,105.644733218794,19.6751375726828,0,1.527,24.3380015418782,1.7874590696465e-14,2.039,25.80587591305,8.60422844084496e-14,2.19733333333333,31.4073727810311,1.08927311615048e-11,2.79566666666667,0.0332991258062967,1,0.98787928908908,0.318897366267629,0.368502150655974,0.382542230623067,0.431493351155736
"ppir","Intuitive Economics",16,52.4920587522992,24.995790139729,4.68237493278512e-06,1.254,30.950574244293,0.000154438824126135,1.725,32.8370044700247,0.000344990084545693,1.87133333333333,40.0756304141344,0.0037797941744574,2.42966666666667,0.0306052315672676,1,0.528141298304954,0.277052198639006,0.324943147192048,0.338445239311217,0.385643646296953
"ppir","Moral Cliff",16,9.13129989623564,24.995790139729,0.870552647712503,1.254,30.950574244293,0.951601037089017,1.725,32.8370044700247,0.965613964292986,1.87133333333333,40.0756304141344,0.991721223845445,2.42966666666667,0.0280415688997993,1,0.712912800927106,0.265194748818103,0.311036031199454,0.323960252503784,0.36913863313633
"ppir","Moral Inversion",15,62.273882631509,23.6847913048409,4.66582361635659e-08,1.31,29.3206919187393,3.44100387839053e-06,1.789,31.1036540854543,9.19457712844629e-06,1.93833333333333,37.93716128398,0.000179189325849594,2.50466666666667,0.0341123110715823,1,0.531016830206011,0.298955272586963,0.349362060066804,0.363651012997581,0.413376265559494
"ppir","Presumption of Guilt",18,25.7850173399419,27.5871116382757,0.0784673636396814,1.159,34.1730595169592,0.24115536203211,1.616,36.2645289997857,0.307752525598793,1.75833333333333,44.3066437008089,0.577705242370928,2.30266666666667,0.0275672087717515,0,0.17866005947593,0.25278605565363,0.298491572327094,0.311359413187813,0.356309115044095
"rand","time/delay",22,19.2852015023794,32.6705733409178,0.566850322262369,1.017,40.4973791509526,0.806583808578024,1.451,42.9927364577169,0.857409340000682,1.58733333333333,52.6197944801033,0.963456426178189,2.10966666666667,0.0240934268309511,0,-0.00522641789915281,0.221373056567764,0.264422246914703,0.276565722832734,0.318838829100315
"wagenmakers","Wagenmakers",18,12.0246728859348,27.5871116382757,0.798640876046913,1.159,34.1730595169592,0.922805671378821,1.616,36.2645289997857,0.94505117940661,1.75833333333333,44.3066437008089,0.986993119122699,2.30266666666667,0.0381273189206798,0,0.0293765196974143,0.29728626819639,0.351037739782544,0.366170822892436,0.419033426752613
