"paper","experiment","k","Q","p0","p25","p33","p67","mdh0scale","mdh25scale","mdh33scale","mdh67scale","es"
"alogna","RR1",33,35.8525690545873,0.292480601446665,0.639749681696558,0.731547955345057,0.937454622739732,0.0802848532575084,0.0984741187399978,0.103594606783753,0.121237828751703,"d"
"alogna","RR2",24,17.097865977019,0.804421521537777,0.939304325886354,0.960238591385714,0.993561520967137,0.099086151988532,0.118977176267134,0.124605616258251,0.144067265167173,"d"
"cheung","Exit",17,20.0779688742785,0.216729475644518,0.450643984564822,0.525581639737285,0.76585703149254,0.221244128351471,0.260331253872099,0.271442314263877,0.309927231827943,"d"
"cheung","Neglect",17,20.4376015057771,0.201154547161588,0.430435400756571,0.505395997274425,0.750546150188381,0.221249052300067,0.260337047733032,0.271448355409521,0.309934129483349,"d"
"cheung","Voice",17,13.1326438368687,0.663035645082315,0.844357961978808,0.882324204138321,0.964796917689523,0.220996642598849,0.260040044895049,0.271138676350684,0.309580544325778,"d"
"cheung","Loyalty",17,9.07988296558909,0.91008736587139,0.969996429983166,0.979474597509289,0.99575126205641,0.220729845823717,0.259726113223656,0.270811345927862,0.309206805205135,"d"
"eerland","Imagery",13,15.1299407769356,0.234407171688308,0.439600830149218,0.504637278632942,0.721181560277215,0.26840411961262,0.311317392365251,0.323516141772352,0.365847792661048,"d"
"eerland","Intention_attribution",13,15.2902426827481,0.225946384573958,0.429248128119602,0.494264673780019,0.712660212410478,0.268246098109826,0.311134105900579,0.323325673358624,0.36563240171223,"d"
"eerland","Intentionality",13,28.1379391602878,0.00528063371046195,0.0295721537971201,0.0440262526984367,0.138984884260742,0.269459204971075,0.312541168002493,0.324787870182857,0.367285925019139,"d"
"hagger","RTV",24,25.116442397316,0.344309597879011,0.641054589244898,0.71932012609305,0.912497756714905,0.186571433073437,0.224024667763455,0.234622577703807,0.271267332334403,"d"
"hagger","RT",24,23.6734760662278,0.422069466947572,0.710231447927363,0.779727429035354,0.938265877021718,0.185106326543692,0.222265448797521,0.23278013556271,0.269137126582308,"d"
"manylabs","Allowedforbidden",36,40.4796453405049,0.241220101693268,0.598871257399343,0.69967755602167,0.931293379812803,0.542871627688717,0.669910672203034,0.70561928551433,0.828773573925905,"logor"
"manylabs","Allowedforbidden",36,40.4796453405049,0.241220101693268,0.598871257399343,0.69967755602167,0.931293379812803,0.542871627688717,0.669910672203034,0.70561928551433,0.828773573925905,"d"
"manylabs","Anchoring1",37,63.1957380231615,0.00337830930914373,0.0509804727696443,0.0904243343349322,0.378912056165361,0.200883009198465,0.248535051254316,0.261838813611189,0.307779429882182,"d"
"manylabs","Anchoring2",37,179.461878268208,0,9.99200722162641e-16,1.50990331349021e-14,5.67218494396116e-11,0.224914535712826,0.278267165970227,0.293162450273608,0.34459891779856,"d"
"manylabs","Anchoring3",37,367.12861734544,0,0,0,0,0.241563591349531,0.298865592449972,0.314863484089538,0.37010748058039,"d"
"manylabs","Anchoring4",37,158.913446732024,0,8.22675261247241e-13,8.96571705766291e-12,1.17144097755428e-08,0.236056351138473,0.29205196379324,0.307685130634514,0.361669657694586,"d"
"manylabs","Flagpriming",37,34.384873079436,0.545500918051872,0.84966461688194,0.903631480341567,0.987853095580556,0.165382211398533,0.204613006099874,0.21556567774333,0.253387496234718,"d"
"manylabs","Gainloss",37,50.7723071041609,0.0522247165017471,0.271661584709569,0.374034736909178,0.751901204445364,0.346461044808346,0.428646075507536,0.451590949862192,0.530824300536775,"logor"
"manylabs","Gamblersfallacy",37,51.4100713948735,0.0461604103541644,0.253273674033832,0.353085600815214,0.734438592468449,0.174788776938361,0.2162509303718,0.22782656516697,0.267799603015424,"d"
"manylabs","IAT",36,49.0975098838114,0.0572967543629849,0.281795694995375,0.383943632403536,0.755516912117306,0.0860258919069018,0.106157073117962,0.111815621386438,0.131331206586334,"z"
"manylabs","Imaginedcontact",37,49.6120581230921,0.0650223940475119,0.307143693589641,0.413525632074477,0.782354397140151,0.170270874153261,0.210661322745266,0.221937753017146,0.260877576364143,"d"
"manylabs","Mathartgender",36,51.3111898613182,0.0370222074705309,0.219226275530943,0.311958758479704,0.692322596886196,0.20061406049948,0.247560368359586,0.260756213465148,0.306266939401146,"d"
"manylabs","Moneypriming",37,33.4213961686937,0.591855203091669,0.874193049047053,0.921110667056449,0.990829852649952,0.169045334141002,0.209145068827244,0.220340335972651,0.25899988642025,"d"
"manylabs","Reciprocity",37,50.5397959664689,0.0546002773028029,0.278564756015229,0.381811865918427,0.758144618110844,0.207785168199038,0.257074491438021,0.270835359069548,0.318354453477402,"d"
"manylabs","Scales",37,111.253116848697,1.3008303323403e-09,1.16428979612948e-06,5.44652098877219e-06,0.000482567019559288,0.0729919750922827,0.0903066135015509,0.0951406106348131,0.111833392826579,"rd"
"manylabs","Sunkcosts",37,36.2374920881202,0.457571297662908,0.795715228417971,0.863570868814311,0.979987465726362,0.162226043179599,0.200708154050963,0.211451803975208,0.248551827658706,"d"
"rand","time/delay",22,19.2852015023794,0.566850322262369,0.806583808578024,0.857409340000682,0.963456426178189,0.156534389471059,0.18697476388997,0.195561498058785,0.225453098162411,"d"
"wagenmakers","Wagenmakers",18,12.0246728859348,0.798640876046913,0.922805671378821,0.94505117940661,0.986993119122699,0.21021313619531,0.248221166252636,0.2589218719399,0.296301377600609,"d"
