"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"alogna","RR1",33,35.8525690545873,46.1942595202791,0.292480601446665,0.787,57.3338934601046,0.639749681696558,1.184,60.9110865471416,0.731547955345057,1.31033333333333,74.793977046776,0.937454622739732,1.79466666666667,0.0081901622142054,1,-0.0346180626257319,0.113539928329902,0.139263434264843,0.146504897902292,0.171456181693325
"alogna","RR2",24,17.097865977019,35.1724616269086,0.804421521537777,0.962,43.6110260839503,0.939304325886354,1.387,46.3058187885909,0.960238591385714,1.52133333333333,56.7164169791856,0.993561520967137,2.03366666666667,0.0102058893096616,1,-0.158055248955967,0.140128979985544,0.168259136289835,0.176218952460276,0.203741880293417
"cheung","Exit",17,20.0779688742785,26.2962276048646,0.216729475644518,1.204,32.5676238373899,0.450643984564822,1.667,34.5568700425596,0.525581639737285,1.81233333333333,42.1982948877082,0.76585703149254,2.36266666666667,0.0406552859883738,0,-0.0759945708912385,0.312886446910064,0.368163989935515,0.383877402233915,0.438303294599827
"cheung","Neglect",17,20.4376015057771,26.2962276048646,0.201154547161588,1.204,32.5676238373899,0.430435400756571,1.667,34.5568700425596,0.505395997274425,1.81233333333333,42.1982948877082,0.750546150188381,2.36266666666667,0.0406570956342838,0,-0.0663608980854692,0.312893410424949,0.368172183692226,0.383885945704016,0.438313049357651
"cheung","Voice",17,13.1326438368687,26.2962276048646,0.663035645082315,1.204,32.5676238373899,0.844357961978808,1.667,34.5568700425596,0.882324204138321,1.81233333333333,42.1982948877082,0.964796917689523,2.36266666666667,0.040564382092993,1,0.0405011643056522,0.312536449202212,0.367752158250687,0.383447993379026,0.43781300443236
"cheung","Loyalty",17,9.07988296558909,26.2962276048646,0.91008736587139,1.204,32.5676238373899,0.969996429983166,1.667,34.5568700425596,0.979474597509289,1.81233333333333,42.1982948877082,0.99575126205641,2.36266666666667,0.0404664990343536,1,0.0180475041396269,0.312159141584422,0.367308191823345,0.382985078255694,0.437284457499157
"eerland","Imagery",13,15.1299407769356,21.0260698174834,0.234407171688308,1.445,26.0163416106582,0.439600830149218,1.944,27.5901180039046,0.504637278632942,2.09933333333333,33.6053872644467,0.721181560277215,2.68466666666667,0.0498552051384259,0,-0.0511621626729152,0.379580746152977,0.440269278485565,0.457520915341077,0.517386910145514
"eerland","Intention_attribution",13,15.2902426827481,21.0260698174834,0.225946384573958,1.445,26.0163416106582,0.429248128119602,1.944,27.5901180039046,0.494264673780019,2.09933333333333,33.6053872644467,0.712660212410478,2.68466666666667,0.0497965184437,0,0.0338690004250254,0.37935727000058,0.440010072281426,0.457251552327179,0.517082301344483
"eerland","Intentionality",13,28.1379391602878,21.0260698174834,0.00528063371046195,1.445,26.0163416106582,0.0295721537971201,1.944,27.5901180039046,0.0440262526984367,2.09933333333333,33.6053872644467,0.138984884260742,2.68466666666667,0.0502479329713798,0,-0.141726911895018,0.381072862176366,0.441999958589053,0.459319410906869,0.519420736430814
"hagger","RTV",24,25.116442397316,35.1724616269086,0.344309597879011,0.962,43.6110260839503,0.641054589244898,1.387,46.3058187885909,0.71932012609305,1.52133333333333,56.7164169791856,0.912497756714905,2.03366666666667,0.0361838873587067,0,0.0142053327968174,0.263851851003838,0.316818723457204,0.331806431427659,0.383629940416082
