"paper","total","nonrep0","nonrep25","nonreplication","mdh0","mdh25","mdh0scale","mdh25scale","t1","t2","t195","t295","v","v1","v2"
"alogna",2,0,0,0,7.849,9.139,0.303227846670872,0.327198463792106,-0.237019914651493,-0.0928637045501397,0.45319305690875,0.131264587403037,0.0117145021017523,0.0114059786236919,0.000308523478060322
"eerland",3,3,3,3,7.849,9.139,0.850810251502985,0.918068080905888,0.72542807035656,-0.0827433494614564,1.30870895139443,0.197228620046125,0.0922255171439129,0.0888305092402863,0.00339500790362655
"hagger",2,1,1,1,7.849,9.139,0.837874707221097,0.904109962402535,0.485,0.0425201019100093,1.0702082114823,0.115441933274377,0.0894424799338563,0.0880518424298489,0.00139063750400742
"manylabs",15,7,6,3,7.849,9.139,0.681831930429862,0.735731769527114,0.489786305972435,0.686327972222519,1.27943720697524,0.850078908872454,0.0592298103393696,0.0579106117911527,0.00131919854821696
"wagenmakers",1,0,0,1,7.849,9.139,0.60130000136658,0.648833670407869,0.081,0.0155052264808362,0.489915,0.104665068068383,0.0460646823344948,0.04397409,0.00209059233449478
"rpp",73,22,16,46,7.849,9.139,0.697149484563886,0.752260199342286,0.479199581644618,0.227826815333733,1.35126609286954,1.09989332655865,0.0619209330905455,0.0332463750398355,0.02867455805071
"rpe",18,3,3,7,7.849,9.139,0.389747225381326,0.420557329454055,0.569190774642401,0.333935914149945,0.881440674562321,0.654513939395392,0.0193531532287479,0.0108770877677319,0.00847606546101598
