"paper","tauDL","tauPM","lb","ub","vbar","mdh0","mdh25","lblambda","ublambda"
"manylabs",0.0135259446153658,0.0138607596466529,0.000527077591929967,0.0640157106559387,0.0857221179186936,0.735363636363636,1.12454545454545,0.857734899087386,32.1150887229226
"alogna",0.000456809189623371,0.000417926161941062,0,0.00566182772849635,0.0091980257619335,0.8745,1.2855,0,14.697119140625
"cheung",0.00516664564628436,0.00505583215719937,0,0.0492555468794924,0.0405858156875011,1.204,1.667,0,12.8246416807175
"eerland",0.0116272327242535,0.0161156447842182,0,0.155375107311033,0.049825861791063,1.445,1.944,0,15.2100917298418
"hagger",0.00200570837802119,0.00231288593443856,0,0.0412555006238956,0.0359008585060165,0.962,1.387,0,17.5073181152344
"rand",0,0,0,0.0207723362722841,0.0240934268309511,1.017,1.451,0,12.476774597168
"wagenmakers",0,0,0,0.0077432893775767,0.0368874494444445,1.159,1.616,0,0.842637348175049
