"paper","experiment","mdh0ratio","mdh25ratio","mdh33ratio","mdh67ratio","powerlb3","powermed","t1","p0","p25","p33","p67"
"manylabs","Allowedforbidden",0.381372642039959,0.411520722710056,0.420261106866783,0.450302083048243,0.999999999999849,0.999999999999999,0.91753219696222,0.000229480864594289,0.000740249871039933,0.000955824945179207,0.00207112881564797
"manylabs","Allowedforbidden",0.381372642039959,0.411520722710056,0.420261106866783,0.450302083048243,0.999999999999849,0.999999999999999,0.91753219696222,0.000229480864594289,0.000740249871039933,0.000955824945179207,0.00207112881564797
"manylabs","Anchoring1",0.540834020926198,0.58358776331527,0.595982719289661,0.63858457414181,0.995636655904239,0.999503636025894,0.93,0.202207780233599,0.257010409968419,0.274575676357737,0.341421395096991
"manylabs","Anchoring2",0.542497029772624,0.585382235511005,0.597815304696915,0.640548155859858,0.995636655904239,0.999503636025894,0.93,1.86334957841261e-06,9.94371523355131e-06,1.39710358002532e-05,3.88902777030964e-05
"manylabs","Anchoring3",0.543359242384805,0.586312607326341,0.598765436895206,0.641566205117977,0.995636655904239,0.999503636025894,0.93,1.54609658409299e-12,2.51265674933165e-11,4.20976586923416e-11,2.00296113028742e-10
"manylabs","Anchoring4",0.543956790685981,0.586957392719018,0.599423917034514,0.64227175453364,0.995636655904239,0.999503636025894,0.93,1.11022302462516e-16,3.99680288865056e-15,7.43849426498855e-15,4.71844785465692e-14
"manylabs","Gainloss",0.344127765495461,0.371331582684557,0.379218380367101,0.40632555289875,0.999999999998869,0.999999999890447,-2.19957778751616,0.000207634639247112,0.000677527920460275,0.000876592607074622,0.00191063652940326
"manylabs","IAT",0.412648537207019,0.445269024407073,0.4547261965776,0.487230795783359,0.999991673877507,0.999999674795977,0.447692023527421,0.416548085711598,0.472047432392001,0.489374194012971,0.553289377991708
"manylabs","Mathartgender",0.667782357616752,0.72057155686243,0.735875943426277,0.788477603032112,0.944846675826008,0.98829927681185,1.01,0.0764182125729386,0.113259433748437,0.125546506748865,0.174519391245267
"ppir","Bigot-Misanthrope",0.476430681512024,0.514093243102976,0.525012188830683,0.562540949884077,0.999709142906709,0.999980217044132,0.904862174894915,0.0451103941859189,0.0724855899659281,0.0818208292908716,0.119989041279692
"ppir","Cold-Hearted Prosociality",0.358427534879505,0.386761770335228,0.394976293355124,0.423209868213821,0.9999999334704,0.999999998614182,2.26403123574644,0.389369561574714,0.445933552146042,0.463632123287797,0.529092763843161
"ppir","Higher Standards - Charity",0.747833569071182,0.806950936923181,0.824089955191549,0.882997301864333,0.877158812432865,0.966442300378936,0.920766661246409,0.874526174598098,0.889155034491788,0.893641988445491,0.909845595307267
"ppir","Intuitive Economics",0.493597558110069,0.532617187103032,0.543929567177355,0.582810574496326,0.999329331271776,0.999947120675882,0.847075820368799,0.0238167693373132,0.0420872109601296,0.0484884351986004,0.0754761815444858
"ppir","Moral Cliff",0.798224810826892,0.861325682092748,0.879619578195885,0.942496276433165,0.823793785075065,0.945191850577239,0.709664760638812,0.986814790576104,0.988363961117342,0.988838791846859,0.990552097928721
"ppir","Moral Inversion",0.954129900237303,1.0295553031929,1.05142226727005,1.12657971289522,0.629611470687693,0.841544167083121,0.808709194163244,0.305281489640743,0.363339366773754,0.381660465730927,0.450112098344297
"rpe","Ambrus and Greiner",0.941209870288183,1.01561392545365,1.03718478537275,1.11132451166208,0.78596202892608,0.928196292117454,0.320545409301946,0.422607446340839,0.477836227574733,0.495070435174116,0.558608623578791
"rpe","Bartling et al.",0.267241973985537,0.288367853773494,0.294492565559168,0.31554339325421,1,1,0.907644983319124,0.184735100605079,0.238213823677703,0.255415818190103,0.321153125723888
"rpe","Charness and Dufwenberg",0.704511753930291,0.760204467169791,0.77635062631572,0.83184548485138,0.992122891271189,0.998980733398657,0.400059650056057,0.81781888327446,0.838872547433891,0.845335224071126,0.868695987094333
"rpe","Chen and Chen",0.328905547153096,0.354906025098693,0.362443956550775,0.388352064838577,0.999999999999971,1,1.2211735176846,2.46913600676635e-13,4.53714843473563e-12,7.74802444425404e-12,3.90915078085641e-11
"rpe","Duffy and Puzzello",0.490014279239224,0.52875064465071,0.53998090233234,0.578579652395954,0.999996344008558,0.999999872776976,0.996215082345103,1.46067491435531e-10,1.71893133060763e-09,2.73849209975197e-09,1.11636846433782e-08
"rpe","Dulleck et al.",0.366010187170685,0.394943842689014,0.403332146642952,0.432163012056245,1,1,0.907644983319124,0.858884587566487,0.875302685860339,0.880339379695766,0.898532368738813
"rpe","Fehr et al.",0.961039347585021,1.03701095274042,1.059036269089,1.13473797646848,0.848355735180483,0.955378724286755,0.484700278594052,0.323498533563732,0.381493591138673,0.399756786206896,0.467823603039118
"rpe","Friedman and Oprea",0.742362355797325,0.80104721601516,0.818060843784721,0.876537219355948,0.999958570585897,0.99999794733347,0.758173744684044,0.154644067937564,0.205140903316866,0.221499536695979,0.284536293804881
"rpe","Huck et al.",0.287987333081813,0.310753164692794,0.317353323293428,0.340038276695949,1,1,1.1881364043926,5.83532111519958e-11,7.34654781453514e-10,1.18282328376296e-09,4.98034857798757e-09
"rpe","Kessler and Roth",0.83834305876304,0.904615337837941,0.923828672988361,0.989865512247413,0.999999999931746,0.999999999999328,0.536060336610567,0.256626731356601,0.3139972792834,0.332218006002528,0.400813703358601
"rpe","Kirchler et al",0.405309227474731,0.437349531207276,0.446638499423366,0.478564976329432,0.999999998622691,0.999999999981496,0.792813631870191,0.0772287678734567,0.114273432225193,0.126622892144656,0.175819344367051
"rpp","CP Beaman",0.95509103804583,1.03059242039007,1.05248141204012,1.1277145671285,0.999999999736199,0.999999999997021,0.897633709106095,0.0123701188262616,0.024017992633372,0.0282131157970671,0.0464564803990335
"rpp","D Ganor-Stern",0.851021850024413,0.91829640660853,0.937800317154381,1.0048358732177,0.978600288027327,0.996487555509971,0.864534746467758,0.486635433945665,0.53834683692807,0.554412510537322,0.613331477674746
"rpp","PA White",0.923510042301052,0.996514899456013,1.01768011072846,1.0904256098175,0.94839373996797,0.989261007018921,0.730493922145522,0.390952999682325,0.447461913139167,0.465140847969386,0.530518267620599
"rpp","S Pacton",0.965880391365106,1.04223468830885,1.06437095278977,1.14045399240145,0.929493587151871,0.983904458668348,0.895136292560066,0.837953549904573,0.856746550071404,0.862513465905727,0.883351304674536
