"paper","experiment","k","Q","p0","p25","p33","p67","mdh0","mdh25","mdh33","mdh67","mdh0scale","mdh25scale","mdh33scale","mdh67scale","mdh0ratio","mdh25ratio","mdh33ratio","mdh67ratio","mdh0ratioub","mdh25ratioub","mdh33ratioub","mdh67ratioub","t1","t195","t2","t295","v1","v2","replicated"
"alogna","RR1",2,3.00617996501599,0.0829475602448848,0.121379406018542,0.134153039713087,0.184863998293303,7.849,9.139,9.53133333333333,10.9426666666667,0.311943612981532,0.336603224532021,0.343752418554204,0.368324424027409,1.39235784080011,1.50242582124451,1.53433619202289,1.64401314343663,0.689764794179572,0.744291738081699,0.760099923080674,0.814433153807242,-0.224039829302987,0.452246353559648,-0.0309868886193424,0.193141403333835,0.0121644178033569,0.00023318923957494,1
"alogna","RR2",2,0.822594663772556,0.364422637747578,0.421733129947402,0.439705620466277,0.506357577413602,7.849,9.139,9.53133333333333,10.9426666666667,0.294254033639872,0.317515257350688,0.324259037606981,0.347437623172506,1.17701613455949,1.27006102940275,1.29703615042792,1.38975049269003,0.650649875502119,0.702084726281404,0.716996466759158,0.768248589375706,-0.25,0.452246353559648,-0.154740520480937,0.193141403333835,0.010647539444027,0.000383857716545704,1
"cheung","Exit",2,6.12463392367288,0.0133310890284771,0.025611336536748,0.030020361051343,0.0491267763441932,7.849,9.139,9.53133333333333,10.9426666666667,0.622394521751907,0.671595744341013,0.68585992225387,0.734886351898661,1.03883183094436,1.12095304885462,1.14476123086821,1.22659070380316,0.607885401619497,0.6559396564506,0.669871311078475,0.717754847698794,-0.599129236525334,1.02386818320321,-0.0493369219883742,0.145216531753959,0.0469604260789856,0.00239298718471492,0
"cheung","Neglect",2,3.31620087083994,0.0686001845347184,0.103385601574453,0.115039738476767,0.16173292149916,7.849,9.139,9.53133333333333,10.9426666666667,0.616766923347881,0.665523275823189,0.679658479167582,0.728241619150299,1.3784463524171,1.48741460879171,1.51900615294422,1.62758728718311,0.602388992514938,0.650008747943583,0.663814434628924,0.711265015455377,-0.447436291057961,1.02386818320321,-0.0465378893571133,0.145216531753959,0.0460685350255938,0.00239642073131928,0
"cheung","Voice",2,2.08879841431021,0.148382736953905,0.198132529675471,0.214276077938778,0.27660547902213,7.849,9.139,9.53133333333333,10.9426666666667,0.613728234950998,0.662244374540478,0.67630993653939,0.724653717019901,1.79801586761139,1.94015172490024,1.98135905775651,2.1229899612316,0.599421141333767,0.646806283664975,0.660543952468109,0.707760753686862,0.341336384181257,1.02386818320321,0.0247317963953318,0.145216531753959,0.0455983737481232,0.00239020395299388,1
"cheung","Loyalty",2,0.876291146605723,0.349219520626489,0.406866891818919,0.424971699112665,0.492232251646252,7.849,9.139,9.53133333333333,10.9426666666667,0.611138954116971,0.659450407164059,0.673456627441294,0.721596448551657,2.88273668110215,3.11062134935639,3.17668855826982,3.4037636402977,0.596892221228127,0.644077448623264,0.657757159065497,0.704774755568746,0.211999576001272,1.02386818320321,0.00779897590499716,0.145216531753959,0.0451963135967681,0.00238819668978879,1
"eerland","Imagery",2,7.19655427393163,0.00730436978361193,0.0152608832591534,0.0181901541478101,0.0312440759098542,7.849,9.139,9.53133333333333,10.9426666666667,0.851306185577182,0.918603219314187,0.938113646326314,1.00517159968987,1.15966021584745,1.2513330992254,1.27791045339418,1.3692576584179,0.628768041524198,0.678473100432604,0.692883348107944,0.742411824136155,0.734099673286689,1.35392725036331,-0.0810566972533538,0.290889638333227,0.0889468992741627,0.00338616501453284,0
"eerland","Intention_attribution",2,4.83952154643656,0.0278146111157522,0.0480437979653232,0.0550849032808447,0.0845509700982988,7.849,9.139,9.53133333333333,10.9426666666667,0.847271089645192,0.914249142982821,0.933667092757026,1.00040719893539,1.25609224647021,1.355388226835,1.3841756320136,1.48311885210429,0.625787751459937,0.675257213958499,0.689599158674505,0.738892875275937,0.674529352462876,1.35392725036331,0.00923101661754357,0.290889638333227,0.088072810909729,0.00338703102536476,0
"eerland","Intentionality",2,9.59532152021904,0.00195073763569231,0.00485402118415779,0.005981986742572,0.0113155949992185,7.849,9.139,9.53133333333333,10.9426666666667,0.853840577178898,0.921337958381966,0.940906469151974,1.00816405822442,1.11227096944944,1.20019766165946,1.22568893839962,1.31330326102599,0.630639923193642,0.680492957162015,0.694946105043304,0.744622030433235,0.767655185320116,1.35392725036331,-0.176404367748559,0.290889638333227,0.0894718175369673,0.00341182767098206,0
"hagger","RTV",2,4.9982802422133,0.0253725174990388,0.0444224599516364,0.0510789488505419,0.0790582087973507,7.849,9.139,9.53133333333333,10.9426666666667,0.847283508750261,0.914262543836815,0.933680778234869,1.00042186267439,1.24600515992685,1.34450374093649,1.37305996799245,1.47120862157998,0.668094393113385,0.720908259234154,0.736219797097834,0.788846035946878,0.68,1.26820927923349,0.00386737812693202,0.154058169323911,0.0900640764724021,0.00139844667706334,0
"hagger","RT",2,0.498828337049861,0.480015393578065,0.532142154011547,0.54834355527715,0.607789644468088,7.849,9.139,9.53133333333333,10.9426666666667,0.828359044015047,0.893842071715167,0.912826590965586,0.978076982755214,2.85641049660361,3.08221404039713,3.14767789988133,3.37267925088005,0.65317219924121,0.704806443503874,0.719775991165514,0.771226798897393,0.29,1.26820927923349,0.0811728256930866,0.154058169323911,0.0860396083872957,0.00138282833095151,1
