"","paper","nstudies","vbar","nonreplication","nonrep0","nonrep25","nonrep33","nonrep67","mdh0scale","mdh25scale","mdh33scale","mdh67scale","mdh0ratio","mdh25ratio","mdh33ratio","mdh67ratio"
"1","manylabs",15,0.059229902886957,3,7,6,6,6,0.617235808437144,0.666029226983633,0.68017517634217,0.72879525071463,1.24511804617383,1.3435464995077,1.37208239549075,1.47016117053905
"2","ppir",11,0.0474375718679461,2,3,2,2,1,0.596937825868621,0.644126658379145,0.657807413998807,0.704828602809861,2.76695344104394,2.98568527011482,3.0490989326396,3.26705369198728
"3","rpe",18,0.0193531532287479,7,4,4,4,3,0.380027074762892,0.410068786316948,0.418778332459581,0.448713317413394,1.02762463402461,1.1088599061706,1.13241123911952,1.21335791371339
"4","rpp",73,0.0619209330905455,46,22,16,15,11,0.616599123575118,0.665342211226137,0.679473568897522,0.728043491180747,3.47867015260558,3.75366425764793,3.83338920416134,4.10740636134019
"5","RRR",13,0.0592697788123896,8,5,5,3,3,0.654928873161207,0.706701985138053,0.721711792648476,0.773300974751173,1.75769189196088,1.89664007835559,1.93692325725046,2.07537781439514
