"paper","tauDL","tauPM","lb","ub","vbar","mdh0","mdh25","lblambda","ublambda"
"manylabs",0.00670644857729439,0.00860120866689469,0.000483568466301836,0.0554249046768014,0.0857221179186936,0.748363636363636,1.14990832696715,0.878035710074685,26.4598064769398
"ppir",0.00523642194665725,0.005736655379692,0,0.0324696503902429,0.0267356413464965,1.257,1.728,0,15.1603665920928
"alogna",0.000223358188283728,0.00019772464902509,0,0.00530207266068338,0.0091980257619335,0.895,1.32521407624633,0,13.2173194885254
"eerland",0.00959291095683507,0.0113599745917873,0,0.112574414773632,0.0499665521845019,1.527,2.08272727272727,0,11.9528350832563
"hagger",0.000851398733645855,0.00085331296963502,0,0.0327698979003226,0.0359008585060165,0.988,1.43636363636364,0,14.7296730041504
"wagenmakers",0,0,0,0.0115813448561162,0.0368874494444445,1.204,1.694625,0,2.04514694213867
