"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"alogna","RR1",33,35.0394332979199,46.1942595202791,0.325870769995268,0.787,57.3338934601046,0.672696219702422,1.184,60.9110865471416,0.759912414280247,1.31033333333333,74.793977046776,0.947317441720475,1.79466666666667,0.0443413833310385,1,-0.0765989113298895,0.0467016251601104,0.0572823041304804,0.060260887307176,0.070523933268299
"alogna","RR2",24,16.9737700558288,35.1724616269086,0.810536724543953,0.962,43.6110260839503,0.941798397508711,1.387,46.3058187885909,0.961990879299829,1.52133333333333,56.7164169791856,0.993914838399258,2.03366666666667,0.0582402353523347,1,-0.356092930675373,0.0697991568461259,0.0838109707635028,0.0877758069979794,0.101485156462224
"cheung","Exit",17,20.0779688742785,26.2962276048646,0.216729475644518,1.204,32.5676238373899,0.450643984564822,1.667,34.5568700425596,0.525581639737285,1.81233333333333,42.1982948877082,0.76585703149254,2.36266666666667,0.0406552859883738,0,-0.0759945708912385,0.0782216117275159,0.0920409974838788,0.0959693505584786,0.109575823649957
"cheung","Neglect",17,20.4376015057771,26.2962276048646,0.201154547161588,1.204,32.5676238373899,0.430435400756571,1.667,34.5568700425596,0.505395997274425,1.81233333333333,42.1982948877082,0.750546150188381,2.36266666666667,0.0406570956342838,0,-0.0663608980854692,0.0782233526062372,0.0920430459230565,0.0959714864260041,0.109578262339413
"cheung","Voice",17,13.1326438368687,26.2962276048646,0.663035645082315,1.204,32.5676238373899,0.844357961978808,1.667,34.5568700425596,0.882324204138321,1.81233333333333,42.1982948877082,0.964796917689523,2.36266666666667,0.040564382092993,1,0.0405011643056522,0.0781341123005531,0.0919380395626719,0.0958619983447565,0.10945325110809
"cheung","Loyalty",17,9.07988296558909,26.2962276048646,0.91008736587139,1.204,32.5676238373899,0.969996429983166,1.667,34.5568700425596,0.979474597509289,1.81233333333333,42.1982948877082,0.99575126205641,2.36266666666667,0.0404664990343536,1,0.0180475041396269,0.0780397853961056,0.0918270479558361,0.0957462695639235,0.109321114374789
"eerland","Imagery",13,15.1299407769356,21.0260698174834,0.234407171688308,1.445,26.0163416106582,0.439600830149218,1.944,27.5901180039046,0.504637278632942,2.09933333333333,33.6053872644467,0.721181560277215,2.68466666666667,0.0498552051384259,0,-0.0511621626729152,0.10957552298531,0.127094793224782,0.132074911816027,0.149356735923851
"eerland","Intention_attribution",13,15.2902426827481,21.0260698174834,0.225946384573958,1.445,26.0163416106582,0.429248128119602,1.944,27.5901180039046,0.494264673780019,2.09933333333333,33.6053872644467,0.712660212410478,2.68466666666667,0.0497965184437,0,0.0338690004250254,0.109511010976938,0.127019966838914,0.131997153411735,0.149268802937214
"eerland","Intentionality",13,28.1379391602878,21.0260698174834,0.00528063371046195,1.445,26.0163416106582,0.0295721537971201,1.944,27.5901180039046,0.0440262526984367,2.09933333333333,33.6053872644467,0.138984884260742,2.68466666666667,0.0502479329713798,0,-0.141726911895018,0.110006259779193,0.127594397536597,0.132594092765551,0.149943851000502
"hagger","RTV",24,25.116442397316,35.1724616269086,0.344309597879011,0.962,43.6110260839503,0.641054589244898,1.387,46.3058187885909,0.71932012609305,1.52133333333333,56.7164169791856,0.912497756714905,2.03366666666667,0.0361838873587067,0,0.0142053327968174,0.0550169141099399,0.0660612704839893,0.0691864236295073,0.0799923722406098
"hagger","RT",24,23.6734760662278,35.1724616269086,0.422069466947572,0.962,43.6110260839503,0.710231447927363,1.387,46.3058187885909,0.779727429035354,1.52133333333333,56.7164169791856,0.938265877021718,2.03366666666667,0.0356178296533262,1,0.0844760067040991,0.0545848777644981,0.0655425051127053,0.0686431170827361,0.0793642088344073
"manylabs","Allowedforbidden",37,39.4054640531025,50.9984601657114,0.320103394128342,0.733,63.3178033961056,0.686344433841512,1.122,67.2811265588938,0.776284744141948,1.24533333333333,82.6857099582531,0.957998451928572,1.72066666666667,0.119068825929095,1,0.636345599361421,0.0696329461478092,0.0861507795452074,0.0907623202198302,0.106686914696781
"manylabs","Anchoring1",37,63.1957380231615,50.9984601657114,0.00337830930914373,0.733,63.3178033961056,0.0509804727696443,1.122,67.2811265588938,0.0904243343349322,1.24533333333333,82.6857099582531,0.378912056165361,1.72066666666667,0.055053183335103,1,1.15268381856428,0.0473485793431314,0.0585802733681577,0.0617160002274373,0.0725443073264734
"manylabs","Anchoring2",37,179.461878268208,50.9984601657114,0,0.733,63.3178033961056,9.99200722162641e-16,1.122,67.2811265588938,1.50990331349021e-14,1.24533333333333,82.6857099582531,5.67218494396116e-11,1.72066666666667,0.0690130264323548,1,1.75995964827718,0.0530128644633211,0.0655882000130368,0.0690990521925774,0.0812227438549692
"manylabs","Anchoring3",37,367.12861734544,50.9984601657114,0,0.733,63.3178033961056,0,1.122,67.2811265588938,0,1.24533333333333,82.6857099582531,0,1.72066666666667,0.0796084156421328,1,2.15883982946387,0.0569370845103432,0.0704432956949035,0.0742140349159115,0.0872351697620873
"manylabs","Anchoring4",37,158.913446732024,50.9984601657114,0,0.733,63.3178033961056,8.22675261247241e-13,1.122,67.2811265588938,8.96571705766291e-12,1.24533333333333,82.6857099582531,1.17144097755428e-08,1.72066666666667,0.0760199193899181,1,2.36491889161901,0.0556390155440556,0.0688373080190161,0.0725220807806445,0.0852463558350865
